element_type,osmid,amenity,name,geometry,building,man_made,name:en,capacity,phone,addr:city,addr:district,addr:postcode,addr:province,addr:street,fee,leisure,nodes,building:levels,height,shop,healthcare,wheelchair,name:zh,tourism,int_name,alt_name,name_1,wikidata,addr:housenumber,website,opening_hours,addr:housename,description,cuisine,fast_food,level,opening_hours:covid19,note,bicycle_parking,covered,supervised,power,takeaway,layer,access,female,toilets:disposal,male,name:zh-Hans,ways,type
node,1318685524,,珞珈山水塔,POINT (114.3667529 30.5373594),yes,water_tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2787687719,,徕卡厅,POINT (114.3564975 30.5276688),university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3604462348,,途智号车库,POINT (114.357609 30.5300247),garage,,,2,68770649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9655586490,,大学生体育活动中心,POINT (114.3522101 30.53881),house,,,,,武汉市,武昌区,430072,湖北省,珞狮北路,no,sports_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103636301,,C棟,"POLYGON ((114.3683395 30.5320929, 114.3691951 30.5323216, 114.3691441 30.5324718, 114.3682805 30.5322338, 114.3683395 30.5320929))",yes,,,,,,,,,,,,"[1196645502, 1196645477, 1196645489, 1196645525, 1196645502]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103636303,,,"POLYGON ((114.3698281 30.5314321, 114.3700319 30.5313974, 114.3699526 30.5312326, 114.3698817 30.5311618, 114.3698014 30.5311145, 114.3697154 30.5310902, 114.3685433 30.5311595, 114.3684011 30.5312496, 114.3683904 30.5318642, 114.3683529 30.5319681, 114.3693158 30.5322268, 114.369364 30.5320813, 114.3686103 30.5318757, 114.3686264 30.5313166, 114.3687123 30.5313166, 114.3686989 30.5312542, 114.3687605 30.5312496, 114.3687605 30.5313166, 114.3688276 30.5313143, 114.368833 30.531409, 114.3698093 30.5313512, 114.3698281 30.5314321))",yes,,,,,,,,,,,,"[1196645453, 1196645521, 7945551096, 1196645476, 7945551095, 1196645544, 1196645543, 1196645507, 1196645532, 1196645460, 1196645537, 1196645442, 1196645542, 1196645529, 1196645435, 1196645483, 1196645478, 1196645456, 1196645436, 1196645533, 1196645474, 1196645453]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103636304,,F棟,"POLYGON ((114.3697552 30.5328935, 114.3698959 30.532853, 114.3697743 30.5325395, 114.3698177 30.532527, 114.3697657 30.5323928, 114.3694895 30.5324723, 114.3695386 30.532599, 114.3696306 30.5325725, 114.3697552 30.5328935))",yes,,,,,,,,,,,,"[1196645526, 1196645485, 1196645451, 1196645447, 1196645437, 1196645452, 1196645497, 1196645457, 1196645526]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103636306,,,"POLYGON ((114.3692638 30.5317692, 114.3691071 30.5318573, 114.3692019 30.5319823, 114.3693586 30.5318942, 114.3692638 30.5317692))",yes,,,,,,,,,,,,"[1196645523, 1196645481, 1196645520, 1196645538, 1196645523]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103636307,,E 棟,"POLYGON ((114.3694767 30.5332411, 114.368884 30.5331372, 114.3689162 30.5329801, 114.3694606 30.5330748, 114.3700936 30.5328692, 114.3699461 30.5325365, 114.3702009 30.5324626, 114.3702519 30.5325896, 114.3701714 30.532615, 114.3702573 30.5328207, 114.370504 30.5327375, 114.3705603 30.5328761, 114.3696806 30.5331788, 114.3696618 30.5331325, 114.3695652 30.5331603, 114.3695867 30.5332088, 114.3694767 30.5332411))",yes,,,,,,,,,,,,"[1196645515, 1196645516, 1196645464, 1196645530, 1196645473, 1196645539, 1196645528, 1196645445, 1196645439, 1196645448, 1196645500, 1196645540, 1196645433, 1196645518, 1196645508, 1196645511, 1196645515]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103637190,,,"POLYGON ((114.3657713 30.5329317, 114.365841 30.5329155, 114.3658625 30.5329848, 114.3659 30.5329733, 114.3659268 30.5330541, 114.366069 30.5330287, 114.3660154 30.532867, 114.3659215 30.5328878, 114.3658947 30.5328254, 114.3660824 30.5327907, 114.3660958 30.5328439, 114.3662729 30.53283, 114.3664096 30.5328508, 114.366643 30.5328993, 114.3666296 30.5329271, 114.3668147 30.532964, 114.3668227 30.532934, 114.3669729 30.532971, 114.3669568 30.5330403, 114.3670239 30.5330449, 114.3671821 30.5331234, 114.367166 30.5331581, 114.367284 30.5332158, 114.3672572 30.5332736, 114.3671151 30.5332112, 114.3670909 30.5332459, 114.3673457 30.5333729, 114.3673431 30.5334099, 114.3675979 30.5334284, 114.3677159 30.5334307, 114.3677025 30.5334053, 114.3678151 30.5333845, 114.3678446 30.5334954, 114.3678768 30.5334838, 114.3679331 30.5336201, 114.3679036 30.5336317, 114.3679492 30.5337241, 114.3680217 30.5337472, 114.3679814 30.5338442, 114.3678446 30.5338142, 114.3677776 30.5338581, 114.3677052 30.5338304, 114.3677078 30.533798, 114.3675819 30.5338143, 114.3675845 30.5338651, 114.36749 30.5341409, 114.3674852 30.5342231, 114.3676488 30.5342439, 114.36763 30.5343271, 114.3675389 30.5343178, 114.3675308 30.5344079, 114.3673135 30.5343918, 114.3672948 30.5344541, 114.3675308 30.5345049, 114.3675845 30.5343987, 114.3676944 30.5344241, 114.3677803 30.5343964, 114.3677642 30.5342947, 114.3678421 30.5342832, 114.3678716 30.5346366, 114.3676302 30.5350297, 114.3671059 30.5347371, 114.3668683 30.5345834, 114.3668468 30.5346065, 114.3665652 30.5344126, 114.3665867 30.5343756, 114.3664311 30.5342878, 114.366415 30.5343155, 114.3663211 30.5342693, 114.3663667 30.5341492, 114.3662959 30.5341411, 114.3663065 30.5340733, 114.3663294 30.5339273, 114.3663253 30.5338469, 114.3663025 30.5334052, 114.3658305 30.5330541, 114.3657714 30.5329989, 114.3657713 30.5329317))",yes,,,,,,,,,,,,"[1196654406, 1196654363, 1196654389, 1196654351, 1196654350, 1196654369, 1196654358, 1196654398, 1196654418, 1196654332, 1196654372, 1196654391, 1196654419, 1196654367, 1196654420, 1196654409, 1196654399, 1196654354, 1196654412, 1196654352, 1196654401, 1196654417, 1196654345, 1196654334, 1196654386, 1196654405, 1196654331, 1196654342, 1196654361, 1196654356, 1196654388, 1196654414, 1196654385, 1196654359, 1196654375, 1196654353, 1196654344, 1196654341, 1196654362, 1196654328, 1196654411, 1196654365, 1196654339, 1196653621, 1196653601, 1196653620, 1196654348, 1196654413, 1196654335, 1196654364, 1196654333, 1196654346, 1196654408, 1196654383, 1196654410, 1196654380, 1196654373, 1196654329, 9003570015, 9003570016, 9003607318, 9003607317, 1196654402, 1196654366, 1196654347, 1196654407, 1196654368, 1196654360, 1196654336, 1196654337, 1196654343, 1196648442, 1195154131, 1196653581, 1195154211, 1195154210, 1196654371, 1196654406]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
