element_type,osmid,amenity,name,geometry,cuisine,name:zh,brand,brand:en,brand:wikidata,brand:zh,name:en,note,outdoor_seating,takeaway
node,2987809550,cafe,教五多功能报告厅,POINT (114.3559083 30.5387281),,,,,,,,,,
node,3089160469,cafe,创隆厅（报告厅）,POINT (114.3532349 30.5389635),,,,,,,,,,
node,5138941279,cafe,,POINT (114.3571559 30.537917),,,,,,,,,,
node,5263425943,cafe,它山咖啡,POINT (114.3601665 30.5348551),,,,,,,,,,
node,9552100000,cafe,提亚,POINT (114.3569127 30.5457196),,,,,,,,,,
node,10743000840,cafe,茶颜悦色,POINT (114.3545018 30.5302019),bubble_tea,茶颜悦色,茶颜悦色,Sexytea,Q60992994,茶颜悦色,Sexytea,新开,no,yes
node,10743000841,cafe,古茗,POINT (114.3544375 30.5302022),bubble_tea,,,,,,,,,
node,10743258309,cafe,Noworry,POINT (114.35419 30.5303227),coffee_shop,,,,,,,,yes,
node,10743258311,cafe,瑞幸咖啡,POINT (114.3541923 30.5302659),coffee_shop,瑞幸咖啡,瑞幸咖啡,Luckin Coffee,Q56811344,瑞幸咖啡,Luckin Coffee,,,yes
node,10744639726,cafe,瑞幸咖啡,POINT (114.3589071 30.5375525),,,瑞幸咖啡,Luckin Coffee,,,,,,
node,10744639727,cafe,茶颜悦色,POINT (114.358976 30.537645),bubble_tea,,茶颜悦色,,,,,,,
node,10744639730,cafe,Tims咖啡,POINT (114.3591595 30.5380153),,,,,,,,,,
