u,v,key,osmid,oneway,name,highway,reversed,length,geometry,tunnel,access,width,bridge,service
700873558,979935879,0,27619437,False,自强大道,tertiary,False,35.83,"LINESTRING (114.3551674 30.5390604, 114.3549973 30.5387734)",,,,,
700873558,3113067141,0,27619437,False,自强大道,tertiary,True,10.197,"LINESTRING (114.3551674 30.5390604, 114.3552332 30.5391325)",,,,,
979935879,700873558,0,27619437,False,自强大道,tertiary,True,35.83,"LINESTRING (114.3549973 30.5387734, 114.3551674 30.5390604)",,,,,
979935879,700873558,1,123838954,True,,tertiary,False,57.507999999999996,"LINESTRING (114.3549973 30.5387734, 114.3550468 30.5387545, 114.3551058 30.5387476, 114.3552185 30.5387845, 114.3552694 30.5388608, 114.3552587 30.5389485, 114.3552185 30.5390202, 114.3551674 30.5390604)",,,,,
979935879,9158437415,0,"[972813240, 123838955]",True,自强大道,tertiary,False,123.723,"LINESTRING (114.3549973 30.5387734, 114.3548944 30.5386715, 114.3548869 30.5386575, 114.3547792 30.5384572, 114.3546066 30.538024, 114.3545254 30.5377493)",,,,,
979935879,3631666647,0,1144290345,False,桂园一路,residential,True,38.457,"LINESTRING (114.3549973 30.5387734, 114.3548236 30.5388295, 114.3546769 30.5389214, 114.354651 30.5389412)",,,,,
979936015,1663919036,0,84250286,False,,residential,True,6.726,"LINESTRING (114.3523688 30.5440096, 114.3523743 30.5440699)",,,,,
979936015,6901657551,0,84250290,False,,residential,False,74.198,"LINESTRING (114.3523688 30.5440096, 114.3531434 30.5440241)",,,,,
979936015,1663918923,0,103938359,False,,residential,True,49.446,"LINESTRING (114.3523688 30.5440096, 114.3522799 30.5437158, 114.3522131 30.543587)",,,,,
979937334,3709160029,0,366939496,False,,footway,True,71.523,"LINESTRING (114.3564138 30.5397159, 114.3562838 30.5403493)",,,,,
979937334,1807168453,0,27619437,False,自强大道,tertiary,False,38.717,"LINESTRING (114.3564138 30.5397159, 114.3561341 30.5396282, 114.3560354 30.5395935)",,,,,
979937334,1196701902,0,27619437,False,自强大道,tertiary,True,54.92,"LINESTRING (114.3564138 30.5397159, 114.3566861 30.5398363, 114.3569105 30.5399615)",,,,,
1144979466,1205470750,0,103949730,False,爱校路,residential,False,8.863,"LINESTRING (114.355065 30.5286307, 114.3550639 30.5287104)",,,,,
1144979466,1201323300,0,98965440,True,求是二路,residential,False,40.754,"LINESTRING (114.355065 30.5286307, 114.3550664 30.5283653, 114.3550684 30.5282642)",,,,,
1144979466,3631666788,0,104372381,False,陕西路,residential,False,60.783,"LINESTRING (114.355065 30.5286307, 114.3555566 30.5286296, 114.3556996 30.5286284)",,,,,
1144979466,1369722873,0,"[122625785, 122625793, 122625791]",False,,footway,False,97.238,"LINESTRING (114.355065 30.5286307, 114.3544386 30.5286355, 114.3543031 30.5286354, 114.3540498 30.5286345)",yes,,,,
1144979602,6187422390,0,307265565,False,,residential,False,33.865,"LINESTRING (114.355075 30.5276239, 114.3547215 30.5276299)",,,,,
1195154339,1197776359,0,103639131,False,珞滨路,residential,True,48.137,"LINESTRING (114.3684215 30.5354567, 114.368877 30.5356397)",,,,,
1195154339,1196653602,0,103639131,False,珞滨路,residential,False,88.429,"LINESTRING (114.3684215 30.5354567, 114.3676788 30.5350933, 114.3676208 30.5350609)",,,,,
1195154339,1197776481,0,103745609,False,,residential,False,35.855999999999995,"LINESTRING (114.3684215 30.5354567, 114.3683749 30.5355343, 114.3682497 30.5357432)",,,,,
1196653602,1195154339,0,103639131,False,珞滨路,residential,True,88.429,"LINESTRING (114.3676208 30.5350609, 114.3676788 30.5350933, 114.3684215 30.5354567)",,,,,
1196672252,1197829829,0,27619462,True,珞南四路,residential,False,65.887,"LINESTRING (114.3603489 30.5338653, 114.3601645 30.533589, 114.3601067 30.5335024, 114.3600362 30.5333394)",,,,,
1196672252,1196672287,0,103639128,False,,living_street,False,92.24799999999999,"LINESTRING (114.3603489 30.5338653, 114.3604608 30.5338166, 114.3608309 30.5337381, 114.3611206 30.5336688, 114.3612762 30.5336595)",,,,,
1196672255,1196672287,0,103639128,False,,living_street,True,76.521,"LINESTRING (114.3620744 30.5336295, 114.3612762 30.5336595)",,,,,
1196672255,1196688782,0,103639127,False,珞南五路,residential,False,24.998,"LINESTRING (114.3620744 30.5336295, 114.3622149 30.5334655, 114.3622245 30.5334462)",,,,,
1196672255,1196688711,0,103639127,False,珞南五路,residential,True,15.299999999999999,"LINESTRING (114.3620744 30.5336295, 114.3620486 30.5336595, 114.361962 30.5337265)",,,,,
