element_type,osmid,amenity,name,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,cuisine,level,opening_hours,addr:district,addr:province,diet:vegetarian,diet:meat,not:brand:wikidata,nodes,building,building:levels,description,fast_food,opening_hours:covid19,diet:halal,takeaway
node,1196688831,restaurant,珈园小观园,POINT (114.36207 30.5339782),,,,,,,,,,,,,,,,,,,,
node,1204235248,restaurant,星湖园食堂,POINT (114.3549781 30.5328138),武汉,299,430079,八一路,,,,,,,,,,,,,,,,
node,2383433334,restaurant,澳门豆捞,POINT (114.3697353 30.5311872),,,,,,,,,,,,,,,,,,,,
node,2383433352,restaurant,汉江情,POINT (114.3700196 30.5316354),,,,,,,,,,,,,,,,,,,,
node,2383433360,restaurant,美味故事,POINT (114.3702128 30.5320605),,,,,,,,,,,,,,,,,,,,
node,4955185414,restaurant,水果捞,POINT (114.3523155 30.5302411),武汉市,,430072,求是大道,,,Mo-Su 09:00-23:00,洪山区,湖北省,yes,,,,,,,,,,
node,9548634106,restaurant,信息学部学生三食堂,POINT (114.3527913 30.5295915),,,,,,,,,,,,,,,,,,,,
node,9548634108,restaurant,信息学部学生一食堂,POINT (114.3536902 30.5307737),,,,,,,,,,,,,,,,,,,,
node,9548634109,restaurant,信息学部学生二食堂,POINT (114.3536902 30.5306258),,,,,,,,,,,,,,,,,,,,
node,9553919075,restaurant,学生四食堂,POINT (114.3530254 30.5294494),,,,,,,Mo-Su 06:30-19:00,,,,,,,,,,,,,
node,9553919076,restaurant,信息学部清真食堂,POINT (114.3530741 30.529347),,,,,,,,,,,,,,,,,,,,
node,9553919077,restaurant,珞珈川味面馆,POINT (114.3538323 30.5308673),,,,,,,,,,,,,,,,,,,,
node,9555904999,restaurant,五洲餐厅,POINT (114.3526407 30.5326514),,,,,,,,,,,,,,,,,,,,
node,10742576350,restaurant,黄蜀郎鸡公煲,POINT (114.3530813 30.5438099),,,,,,,,,,,,,,,,,,,,
node,10743000838,restaurant,研卤堂,POINT (114.3546259 30.5301994),,,,,chinese;卤菜,,,,,,yes,,,,,,,,,
node,10743552412,restaurant,重庆小面,POINT (114.3526868 30.5440717),,,,,,,,,,,,,,,,,,,,
node,10743552413,restaurant,宝岛小厨,POINT (114.3525184 30.5440743),,,,,,,,,,,,,,,,,,,,
node,10743552426,restaurant,小胡鸭,POINT (114.3517857 30.5423609),,,,,asian,,,,,,,,,,,,,,,
node,10744477508,restaurant,嗨购猫,POINT (114.3541913 30.5323082),,,,,,,,,,,,,,,,,,,,
node,10744639728,restaurant,呷哺呷哺,POINT (114.3590601 30.5377597),,,,,火锅,,,,,,,Q10866036,,,,,,,,
way,103751587,restaurant,梅园食堂,"POLYGON ((114.3593716 30.5382105, 114.3591087 30.5383353, 114.3589585 30.5380904, 114.3588942 30.5377762, 114.3588137 30.5378224, 114.3586474 30.5375591, 114.3589639 30.5374205, 114.3591892 30.5378086, 114.3591248 30.5378363, 114.3593716 30.5382105))",,,,,,,,,,,,,"[1197846077, 1197846085, 1197846016, 1197846088, 1197846029, 1197846049, 1197846065, 1197846011, 1197846010, 1197846077]",yes,,,,,,
way,103753739,restaurant,枫园食堂,"POLYGON ((114.36681 30.5397857, 114.3663297 30.5397481, 114.3663564 30.5394954, 114.3660285 30.5394698, 114.3660744 30.5390357, 114.3663489 30.5390572, 114.3663325 30.5392127, 114.3668661 30.5392545, 114.3668511 30.5393968, 114.36681 30.5397857))",,,,,,,,,,,,,"[1197862840, 1197862867, 1197862950, 1197862819, 1197862914, 1197862936, 1197862825, 1197862896, 4808835822, 1197862840]",yes,,,,,,
way,103947058,restaurant,湖滨食堂,"POLYGON ((114.3640288 30.5440267, 114.3647207 30.5440303, 114.3647233 30.5436641, 114.3643146 30.543662, 114.3643137 30.5437952, 114.3640304 30.5437938, 114.3640288 30.5440267))",,,,,,,,,,,,,"[1199819195, 1199819330, 1199819124, 1199819281, 1199819292, 1199819334, 1199819195]",yes,2,,,,,
way,103948549,restaurant,桂园食堂,"POLYGON ((114.3537237 30.5409678, 114.3532507 30.540902, 114.3533276 30.5404919, 114.3533986 30.5405018, 114.3534353 30.540306, 114.3539252 30.5403741, 114.3538447 30.5408033, 114.3537568 30.5407911, 114.3537237 30.5409678))",,,,,,,,,,,,,"[1199831182, 1199831167, 1199831255, 1199831173, 1199831186, 1199831271, 1199831161, 1199831248, 1199831182]",yes,,,,,,
way,104372393,restaurant,信息学部四食堂,"POLYGON ((114.3530279 30.5299877, 114.3529169 30.5299653, 114.3528278 30.5299412, 114.3528268 30.530013, 114.3524183 30.5300166, 114.3524089 30.5291865, 114.352715 30.5291815, 114.3527169 30.529263, 114.3528235 30.5292612, 114.3529666 30.5292617, 114.3531147 30.5292594, 114.3531132 30.52931, 114.353211 30.5293078, 114.3532118 30.5293399, 114.3532798 30.5293653, 114.3532898 30.5294119, 114.3532847 30.5294956, 114.3531678 30.5294984, 114.3531699 30.5295399, 114.3530826 30.5295399, 114.3530825 30.5296089, 114.3530824 30.5297333, 114.3531512 30.5297346, 114.353153 30.5297742, 114.3532819 30.5297753, 114.3532809 30.5298735, 114.3532509 30.5299204, 114.3531897 30.5299294, 114.3531706 30.5299592, 114.3530279 30.5299877))",,,,,chinese,2,,,,,,,"[1204185615, 2124853313, 1204185472, 1204185470, 1204185508, 1204185547, 1204185513, 1204185480, 1204185469, 1204185563, 2124853322, 2124853321, 1204185554, 1204185561, 2124853320, 2124853316, 1204185526, 2124853319, 2124853314, 1204185505, 3123587156, 2124853318, 1204185519, 2124853315, 1204185620, 2124853317, 1204185616, 1204185608, 1204185597, 1204185615]",yes,,一楼只可刷校园卡、二楼可现金购餐票,cafeteria,Mo-Su 07:00-22:00,,
way,173419312,restaurant,工学部1、4、清真食堂,"POLYGON ((114.3597498 30.5457114, 114.3606993 30.5457946, 114.360765 30.5453199, 114.3601146 30.5452587, 114.3600864 30.5454343, 114.3597833 30.5454089, 114.3597498 30.5457114))",,,,,,3,,,,,,,"[1842385440, 1842385420, 1842385475, 1842385466, 1842385464, 1842385438, 1842385440]",,,,,,yes,no
way,286543789,restaurant,信息学部一食堂,"POLYGON ((114.3533893 30.5309252, 114.3533901 30.530502, 114.3539963 30.5304974, 114.3539962 30.5309225, 114.3533893 30.5309252))",,,,,,,,,,,,,"[2902265944, 2902265945, 2902265946, 2902265947, 2902265944]",yes,,,cafeteria,,,
way,314689014,restaurant,医学部一食堂,"POLYGON ((114.3519294 30.5562638, 114.3519171 30.5566459, 114.3524378 30.5566591, 114.3524532 30.5564973, 114.3521605 30.5564893, 114.3521728 30.5562691, 114.3519294 30.5562638))",,,,,,,,,,,,,"[3207358993, 3207358994, 3207358995, 3207358996, 3207358997, 3207358998, 3207358993]",yes,,,cafeteria,,,
way,314697935,restaurant,医学部二食堂,"POLYGON ((114.3496809 30.5587187, 114.3496904 30.5583737, 114.3500662 30.5583814, 114.3500566 30.5587264, 114.3496809 30.5587187))",,,,,,,,,,,,,"[3207443768, 3207443769, 3207443770, 3207443771, 3207443768]",yes,,,cafeteria,,,
way,380915237,restaurant,工学部2食堂，动机学院小型飞机停放处,"POLYGON ((114.3599723 30.5463113, 114.3600018 30.5461011, 114.3600233 30.5461081, 114.3600233 30.5460711, 114.3600957 30.5460711, 114.3601118 30.5459464, 114.360136 30.5459487, 114.3601413 30.5458632, 114.3602164 30.5458701, 114.3602218 30.5458401, 114.3605544 30.5458701, 114.3605463 30.5459233, 114.3606348 30.5459279, 114.3606027 30.5461335, 114.360659 30.5461381, 114.3606161 30.546376, 114.3599723 30.5463113))",,,,,,2,,,,,,,"[3842095819, 3842095820, 3842095821, 3842095822, 3842095823, 3842095824, 3842095825, 3842095826, 3842095827, 3842095828, 3842095829, 3842095830, 3842095831, 3842095832, 3842095833, 3842095834, 3842095819]",yes,,,,,,no
way,433204238,restaurant,工学部CBD,"POLYGON ((114.3574997 30.544116, 114.3576177 30.5441206, 114.3576392 30.5436817, 114.3575158 30.5436794, 114.3574997 30.544116))",,,,,,,,,,,,,"[4320485424, 4320485425, 4320485426, 4320485427, 4320485424]",yes,,,,,,
way,1037155686,restaurant,田园食堂,"POLYGON ((114.3520896 30.5445575, 114.3522171 30.5445653, 114.3522474 30.5443771, 114.3516557 30.5443223, 114.3516344 30.5445157, 114.3520896 30.5445575))",,,,,,,,,,,,,"[9554375152, 9554375153, 9554375155, 9554375156, 9554375157, 9554375152]",yes,,,,,,
way,1037696274,restaurant,珞珈糕点,"POLYGON ((114.3528278 30.5299412, 114.3529169 30.5299653, 114.3530279 30.5299877, 114.3531706 30.5299592, 114.3531897 30.5299294, 114.3531912 30.5298585, 114.3530072 30.5298594, 114.3528242 30.5298594, 114.3528278 30.5299412))",,,,,,,,,,,,,"[1204185472, 2124853313, 1204185615, 1204185597, 1204185608, 9558228573, 9558228574, 9558228575, 1204185472]",yes,,,,,,
