element_type,osmid,amenity,geometry,building,name,nodes,building:material,air_conditioning,website,fast_food,name_1,leisure,building:levels
node,3813611852,,POINT (114.3554701 30.6103704),apartments,海虹二栋,,,,,,,,
node,3813611853,,POINT (114.3556982 30.6101032),apartments,海虹三栋,,,,,,,,
node,3813611854,,POINT (114.3556743 30.6097647),apartments,海虹四栋,,,,,,,,
node,3813611855,,POINT (114.3558957 30.6093891),apartments,海虹五栋,,,,,,,,
node,3813628988,,POINT (114.3523264 30.6120265),university,计算机学院,,,,,,,,
node,3813628989,,POINT (114.3526319 30.6115934),university,计算机实验中心,,,,,,,,
node,3813877254,,POINT (114.3547477 30.610162),retail,联通营业厅,,,,,,,,
node,3813878971,,POINT (114.3518515 30.610089),university,水电中心,,,,,,,,
node,3813878973,,POINT (114.3519682 30.6104467),university,化学楼,,,,,,,,
node,3813878984,,POINT (114.3513238 30.6060536),apartments,学生宿舍老八栋,,,,,,,,
node,3813923198,,POINT (114.3522064 30.6100046),university,交通学院海洋工程系,,,,,,,,
node,3813923209,,POINT (114.3512584 30.6062747),apartments,学生宿舍老七栋,,,,,,,,
node,3816583341,,POINT (114.3553393 30.6088207),retail,电信营业厅,,,,,,,,
node,3816583342,,POINT (114.3549159 30.6087907),retail,移动营业厅,,,,,,,,
way,158653065,,"POLYGON ((114.3508907 30.6079677, 114.350946 30.6077305, 114.3501903 30.6076001, 114.3501351 30.6078373, 114.3508907 30.6079677))",university,余区大礼堂,"[1708093385, 1708093378, 1708093383, 1708093381, 1708093385]",,,,,,,
way,158654391,,"POLYGON ((114.3517346 30.6038767, 114.3520431 30.6040938, 114.3520029 30.6041584, 114.3520592 30.6042023, 114.3520324 30.6042415, 114.352483 30.6045509, 114.3525098 30.6045255, 114.3525876 30.6045762, 114.3526493 30.6045255, 114.3529843 30.6047519, 114.3528773 30.6048625, 114.3530489 30.6049756, 114.3533064 30.6046917, 114.3531559 30.6045926, 114.3530918 30.6046478, 114.353054 30.604618, 114.3530999 30.6045762, 114.3528314 30.6043964, 114.3527858 30.6044518, 114.3527483 30.6044264, 114.3527322 30.6044449, 114.3526439 30.6043869, 114.3526654 30.6043592, 114.3522064 30.6040432, 114.352185 30.6040663, 114.3521021 30.604006, 114.3521718 30.6039322, 114.3518768 30.6037359, 114.3519168 30.6036969, 114.3517346 30.6035674, 114.3514584 30.603849, 114.3516381 30.603976, 114.3517346 30.6038767))",university,航海楼,"[1708103900, 1708103897, 1708103875, 1708103796, 1708103917, 1708103890, 1708103853, 1708103922, 1708103934, 1708103838, 1708103800, 1708103803, 1708103824, 1708103771, 1708103862, 1708103798, 1708103878, 1708103858, 1708103806, 1708103910, 1708103855, 1708103857, 1708103795, 1708103907, 1708103852, 1708103887, 1708103904, 1708103913, 1708103808, 1708103920, 1708103774, 1708103822, 1708103900]",concrete,,,,,,
