u,v,key,osmid,highway,oneway,reversed,length,name,geometry,bridge,lanes,maxspeed
694059735,3816715760,0,378253768,service,False,False,31.173,,"LINESTRING (114.3483805 30.6088709, 114.3484243 30.6085931)",,,
694059735,3904064559,0,378253771,service,False,False,89.074,,"LINESTRING (114.3483805 30.6088709, 114.3490403 30.6094359)",,,
694059735,3904064558,0,378270413,service,False,True,52.551,,"LINESTRING (114.3483805 30.6088709, 114.3482687 30.6093336)",,,
694059735,11370086636,0,1226079895,service,False,False,79.768,水运路,"LINESTRING (114.3483805 30.6088709, 114.3477809 30.6083726)",,,
1708123294,1708172972,0,158683101,service,False,True,92.455,水运湖路,"LINESTRING (114.3511901 30.6119684, 114.3521387 30.612126)",,,
1708123294,3904060952,0,"[158683121, 158683101]",service,False,False,173.291,"['交通一路', '水运湖路']","LINESTRING (114.3511901 30.6119684, 114.3502569 30.6118141, 114.3504125 30.6110857)",,,
1708172972,3904060953,0,158660966,service,False,True,82.932,交通三路,"LINESTRING (114.3521387 30.612126, 114.3522858 30.611391)",,,
1708172972,1708123294,0,158683101,service,False,False,92.455,水运湖路,"LINESTRING (114.3521387 30.612126, 114.3511901 30.6119684)",,,
1708172972,8995310173,0,971895094,service,False,False,78.889,水运湖路,"LINESTRING (114.3521387 30.612126, 114.3526091 30.6122045, 114.3529505 30.6122484)",,,
1708197814,11271110506,0,"[158664507, 158660966]",service,False,False,44.318999999999996,交通三路,"LINESTRING (114.3522389 30.6064806, 114.3522228 30.6065244, 114.3522228 30.6065614, 114.3522308 30.6066052, 114.3522642 30.6066452, 114.3523032 30.6066745, 114.3523435 30.6067022, 114.352373 30.606723, 114.3524641 30.6067855)",yes,,
1708197814,11271110507,0,158664507,service,False,True,28.695999999999998,,"LINESTRING (114.3522389 30.6064806, 114.3522013 30.6064944, 114.3521745 30.606506, 114.3521477 30.6065129, 114.3521128 30.6065152, 114.3520833 30.606506, 114.3520538 30.6064944, 114.3519771 30.6064363)",yes,,
1708197814,11271114797,0,"[1216411752, 158683962]","['service', 'footway']",False,"[False, True]",125.837,"['理工二桥引桥', '理工二桥']","LINESTRING (114.3522389 30.6064806, 114.3527445 30.6059411, 114.3527799 30.6058558, 114.3524601 30.6056429)",yes,,
1708212348,3904060948,0,158660966,service,False,False,63.152,交通三路,"LINESTRING (114.3529498 30.6080729, 114.3528378 30.6086326)",,,
1708212348,11271110516,0,158660966,service,False,True,39.209,交通三路,"LINESTRING (114.3529498 30.6080729, 114.3530193 30.6077254)",,,
1708212348,8995273496,0,158667524,service,False,False,83.463,学子路,"LINESTRING (114.3529498 30.6080729, 114.3520912 30.6079413)",,,
1708212348,1839548243,0,158667524,service,False,True,82.587,学子路,"LINESTRING (114.3529498 30.6080729, 114.3537994 30.6082031)",,,
1708212354,3816574593,0,158683593,service,False,False,50.349,,"LINESTRING (114.3552192 30.6101413, 114.3553158 30.6096962)",,,
1708212354,8995273495,0,387066473,service,False,True,119.765,,"LINESTRING (114.3552192 30.6101413, 114.3539972 30.609909)",,,
1708212354,3816574596,0,378253781,service,False,False,57.864,,"LINESTRING (114.3552192 30.6101413, 114.3551731 30.6103541, 114.35545 30.6105427)",,,
1708212361,1708241091,0,158683591,service,False,False,50.565,,"LINESTRING (114.3543306 30.6088303, 114.3544258 30.608383)",,,
1708212361,1708238789,0,387066472,service,False,True,18.141,,"LINESTRING (114.3543306 30.6088303, 114.3541427 30.6088088)",,,
1708212361,3816574593,0,"[158683593, 158683594]",service,False,True,193.68400000000003,,"LINESTRING (114.3543306 30.6088303, 114.3554754 30.608961, 114.3553158 30.6096962)",,,
