osmid,y,x,street_count,geometry
694059735,30.6088709,114.3483805,4,POINT (114.3483805 30.6088709)
1708123294,30.6119684,114.3511901,3,POINT (114.3511901 30.6119684)
1708172972,30.612126,114.3521387,3,POINT (114.3521387 30.612126)
1708197814,30.6064806,114.3522389,3,POINT (114.3522389 30.6064806)
1708212348,30.6080729,114.3529498,4,POINT (114.3529498 30.6080729)
1708212354,30.6101413,114.3552192,3,POINT (114.3552192 30.6101413)
1708212361,30.6088303,114.3543306,3,POINT (114.3543306 30.6088303)
1708233019,30.611527,114.3530966,3,POINT (114.3530966 30.611527)
1708233021,30.6108545,114.3488589,3,POINT (114.3488589 30.6108545)
1708233417,30.6079284,114.3520069,3,POINT (114.3520069 30.6079284)
1708238789,30.6088088,114.3541427,3,POINT (114.3541427 30.6088088)
1708238796,30.6084681,114.3538983,1,POINT (114.3538983 30.6084681)
1708239590,30.6087875,114.353969,3,POINT (114.353969 30.6087875)
1708239592,30.6084447,114.3537478,3,POINT (114.3537478 30.6084447)
1708239953,30.6086435,114.3540099,3,POINT (114.3540099 30.6086435)
1708239958,30.6087355,114.3538744,1,POINT (114.3538744 30.6087355)
1708240659,30.6084008,114.3541506,1,POINT (114.3541506 30.6084008)
1708240661,30.6086409,114.3543169,1,POINT (114.3543169 30.6086409)
1708241089,30.6085016,114.3542204,3,POINT (114.3542204 30.6085016)
1708241091,30.608383,114.3544258,3,POINT (114.3544258 30.608383)
1708249586,30.6106809,114.3524279,3,POINT (114.3524279 30.6106809)
1708312729,30.6099914,114.3525659,3,POINT (114.3525659 30.6099914)
1708312730,30.6097941,114.3533919,3,POINT (114.3533919 30.6097941)
1708421143,30.6100941,114.3534193,1,POINT (114.3534193 30.6100941)
1708423465,30.6100175,114.3537728,4,POINT (114.3537728 30.6100175)
1708423478,30.6100469,114.3536542,4,POINT (114.3536542 30.6100469)
1839505459,30.6083376,114.3509997,3,POINT (114.3509997 30.6083376)
1839508869,30.6098064,114.3534572,3,POINT (114.3534572 30.6098064)
1839512761,30.6063937,114.3514249,3,POINT (114.3514249 30.6063937)
1839513338,30.6062466,114.3503921,4,POINT (114.3503921 30.6062466)
1839513339,30.6063297,114.3509588,3,POINT (114.3509588 30.6063297)
1839516773,30.6070334,114.3512784,3,POINT (114.3512784 30.6070334)
1839516774,30.6068757,114.3502577,3,POINT (114.3502577 30.6068757)
1839534812,30.6093494,114.3507835,3,POINT (114.3507835 30.6093494)
1839534817,30.6077921,114.3511163,3,POINT (114.3511163 30.6077921)
1839548235,30.6101853,114.3489936,3,POINT (114.3489936 30.6101853)
1839548237,30.6079349,114.350031,3,POINT (114.350031 30.6079349)
1839548239,30.6112422,114.3513152,3,POINT (114.3513152 30.6112422)
1839548241,30.6081065,114.3510491,3,POINT (114.3510491 30.6081065)
1839548243,30.6082031,114.3537994,3,POINT (114.3537994 30.6082031)
1839573015,30.6102171,114.3488939,1,POINT (114.3488939 30.6102171)
3816574566,30.607696,114.3485982,3,POINT (114.3485982 30.607696)
3816574570,30.6060529,114.349158,4,POINT (114.349158 30.6060529)
3816574571,30.6095136,114.349132,3,POINT (114.349132 30.6095136)
3816574573,30.6077646,114.3470493,1,POINT (114.3470493 30.6077646)
3816574575,30.6088438,114.3508915,3,POINT (114.3508915 30.6088438)
3816574576,30.6091142,114.3527414,3,POINT (114.3527414 30.6091142)
3816574577,30.6069294,114.3506057,3,POINT (114.3506057 30.6069294)
3816574580,30.6069807,114.3509378,3,POINT (114.3509378 30.6069807)
3816574584,30.6115212,114.3533246,3,POINT (114.3533246 30.6115212)
3816574589,30.6109647,114.3533407,1,POINT (114.3533407 30.6109647)
3816574590,30.6110448,114.3538825,3,POINT (114.3538825 30.6110448)
3816574592,30.6101904,114.3533719,1,POINT (114.3533719 30.6101904)
3816574593,30.6096962,114.3553158,3,POINT (114.3553158 30.6096962)
3816574596,30.6105427,114.35545,1,POINT (114.35545 30.6105427)
3816648044,30.6106549,114.3522478,3,POINT (114.3522478 30.6106549)
3816648047,30.6110256,114.3517288,4,POINT (114.3517288 30.6110256)
3816648048,30.6110324,114.3514896,1,POINT (114.3514896 30.6110324)
3816648049,30.6107074,114.3516735,1,POINT (114.3516735 30.6107074)
3816648050,30.6111941,114.3516656,1,POINT (114.3516656 30.6111941)
3816648052,30.6112827,114.3520449,3,POINT (114.3520449 30.6112827)
3816648053,30.6113522,114.3520326,3,POINT (114.3520326 30.6113522)
3816648054,30.6107633,114.3521368,3,POINT (114.3521368 30.6107633)
3816715345,30.6107788,114.3539425,3,POINT (114.3539425 30.6107788)
3816715346,30.6106796,114.353364,1,POINT (114.353364 30.6106796)
3816715347,30.6104991,114.3540055,3,POINT (114.3540055 30.6104991)
3816715348,30.6104043,114.3534302,1,POINT (114.3534302 30.6104043)
3816715349,30.6114612,114.3546241,3,POINT (114.3546241 30.6114612)
3816715351,30.6115836,114.3539593,3,POINT (114.3539593 30.6115836)
3816715352,30.6113353,114.3540169,3,POINT (114.3540169 30.6113353)
