u,v,key,osmid,highway,oneway,reversed,length,geometry,service,tunnel,bridge
9536946727,9550311943,0,1036623724,footway,False,False,55.547,"LINESTRING (120.736414 31.2728422, 120.736504 31.272846, 120.7365971 31.2728471, 120.7366762 31.2728319, 120.7366941 31.2728515, 120.736638 31.2728766, 120.7365384 31.272882, 120.7365002 31.2728864, 120.7365191 31.2729611)",,,
9536946727,9550312029,0,1036623728,footway,False,False,26.396,"LINESTRING (120.736414 31.2728422, 120.7363877 31.2728253, 120.7363205 31.272782, 120.7362056 31.272686)",,,
9550311846,9550311927,0,1036623709,service,False,False,21.724,"LINESTRING (120.7371647 31.2714686, 120.7373878 31.2714261)",,,
9550311846,9550312168,0,1036623708,service,False,False,98.935,"LINESTRING (120.7371647 31.2714686, 120.7371443 31.2714162, 120.7370345 31.2712799, 120.7369363 31.2711948, 120.7368546 31.2711425, 120.7363574 31.2709606)",,,
9550311846,9550312170,0,1036623708,service,False,True,53.286,"LINESTRING (120.7371647 31.2714686, 120.7371825 31.2715482, 120.7371689 31.2719462)",,,
9550311860,9550311863,0,1036623708,service,False,False,97.186,"LINESTRING (120.7350327 31.2710814, 120.7349765 31.2711665, 120.7346703 31.2718306, 120.7346499 31.2718906)",,,
9550311860,9550312168,0,1036623708,service,False,True,135.046,"LINESTRING (120.7350327 31.2710814, 120.7350607 31.2710574, 120.7351182 31.2710258, 120.7351883 31.270992, 120.73527 31.2709549, 120.7356923 31.2708339, 120.7358224 31.2708186, 120.7358901 31.2708219, 120.735959 31.270835, 120.7362703 31.2709287, 120.7363574 31.2709606)",,,
9550311860,9550311934,0,"[1036623722, 1036623723]",service,False,False,43.324,"LINESTRING (120.7350327 31.2710814, 120.7351213 31.2708871, 120.7351983 31.2707184)",parking_aisle,yes,
9550311863,9550312171,0,1036623708,service,False,False,83.87700000000001,"LINESTRING (120.7346499 31.2718906, 120.734632 31.271956, 120.7346346 31.2720225, 120.7346559 31.2720929, 120.7346883 31.2721793, 120.7347605 31.2722934, 120.7349572 31.2725744)",,,
9550311863,9550311860,0,1036623708,service,False,True,97.18599999999999,"LINESTRING (120.7346499 31.2718906, 120.7346703 31.2718306, 120.7349765 31.2711665, 120.7350327 31.2710814)",,,
9550311863,9550344574,0,"[1036623721, 1036627930]","['service', 'footway']",False,"[False, True]",239.41599999999997,"LINESTRING (120.7346499 31.2718906, 120.7345484 31.2719547, 120.734512 31.2719949, 120.7344513 31.2721324, 120.7341701 31.2727636, 120.7341369 31.2729119, 120.7342135 31.2729337, 120.7343359 31.2729534, 120.7346396 31.2729447, 120.7349305 31.272877, 120.7353144 31.2728844)",,,
9550311877,9550311877,0,1036623710,service,False,False,56.840999999999994,"LINESTRING (120.7376523 31.2710905, 120.7376647 31.2711142, 120.7376678 31.27114, 120.7376613 31.2711653, 120.7376458 31.2711876, 120.7376229 31.2712047, 120.7375949 31.2712147, 120.7375647 31.2712168, 120.7375352 31.2712106, 120.7375078 31.2711956, 120.7374879 31.2711737, 120.7374778 31.2711473, 120.7374785 31.2711195, 120.7374901 31.2710936, 120.7375112 31.2710724, 120.7375394 31.2710586, 120.7375713 31.2710536, 120.7376034 31.271058, 120.7376319 31.2710713, 120.7376523 31.2710905)",,,
9550311877,9550311877,1,1036623710,service,False,True,56.841,"LINESTRING (120.7376523 31.2710905, 120.7376319 31.2710713, 120.7376034 31.271058, 120.7375713 31.2710536, 120.7375394 31.2710586, 120.7375112 31.2710724, 120.7374901 31.2710936, 120.7374785 31.2711195, 120.7374778 31.2711473, 120.7374879 31.2711737, 120.7375078 31.2711956, 120.7375352 31.2712106, 120.7375647 31.2712168, 120.7375949 31.2712147, 120.7376229 31.2712047, 120.7376458 31.2711876, 120.7376613 31.2711653, 120.7376678 31.27114, 120.7376647 31.2711142, 120.7376523 31.2710905)",,,
9550311877,9550311892,0,1036623711,service,False,False,14.926,"LINESTRING (120.7376523 31.2710905, 120.7376817 31.2710937, 120.7377466 31.2711076, 120.7378034 31.2711254)",,,
9550311892,9550311930,0,1036623720,service,False,False,21.559,"LINESTRING (120.7378034 31.2711254, 120.7380148 31.2711957)",,,
9550311892,9550311893,0,1036623709,service,False,True,28.544999999999998,"LINESTRING (120.7378034 31.2711254, 120.7377776 31.2711841, 120.7377113 31.2712713, 120.7376326 31.2713311)",,,
9550311892,9550311877,0,1036623711,service,False,True,14.926,"LINESTRING (120.7378034 31.2711254, 120.7377466 31.2711076, 120.7376817 31.2710937, 120.7376523 31.2710905)",,,
9550311893,9550311892,0,1036623709,service,False,False,28.544999999999998,"LINESTRING (120.7376326 31.2713311, 120.7377113 31.2712713, 120.7377776 31.2711841, 120.7378034 31.2711254)",,,
9550311893,9550311927,0,1036623709,service,False,True,25.900999999999996,"LINESTRING (120.7376326 31.2713311, 120.7375965 31.2713586, 120.7374561 31.2714131, 120.7373878 31.2714261)",,,
9550311893,9550311930,0,1036623712,service,False,False,39.351,"LINESTRING (120.7376326 31.2713311, 120.7377457 31.2712841, 120.7379824 31.2712063, 120.7380148 31.2711957)",,,
9550311905,9550311909,0,1036623712,service,False,True,28.394,"LINESTRING (120.7388336 31.2728571, 120.7389137 31.2726111)",,,
9550311905,9550311908,0,1036623712,service,False,False,10.376000000000001,"LINESTRING (120.7388336 31.2728571, 120.7388063 31.2728831, 120.7387759 31.2728876, 120.7387395 31.2728801)",,,
9550311905,9550312287,0,1036623757,footway,False,True,97.729,"LINESTRING (120.7388336 31.2728571, 120.7388175 31.2729285, 120.7387963 31.2729881, 120.7387705 31.2730309, 120.7387235 31.2730685, 120.7386977 31.2730815, 120.738643 31.2730828, 120.7385717 31.2730789, 120.7382895 31.2730153, 120.7382061 31.2729842, 120.7381636 31.2729453, 120.7381545 31.2729194, 120.7381778 31.2728216)",,,
9550311908,9550311905,0,1036623712,service,False,True,10.376,"LINESTRING (120.7387395 31.2728801, 120.7387759 31.2728876, 120.7388063 31.2728831, 120.7388336 31.2728571)",,,
9550311909,9550311905,0,1036623712,service,False,False,28.394,"LINESTRING (120.7389137 31.2726111, 120.7388336 31.2728571)",,,
9550311909,9550311918,0,1036623712,service,False,True,117.36999999999999,"LINESTRING (120.7389137 31.2726111, 120.7391841 31.2717808, 120.7392519 31.271596)",,,
9550311911,9550311914,0,1036623712,service,False,False,17.405,"LINESTRING (120.7389131 31.2712644, 120.7390838 31.2713211)",,,
9550311911,9550312286,0,1036623712,service,False,True,78.66199999999999,"LINESTRING (120.7389131 31.2712644, 120.7386014 31.2711609, 120.7384497 31.2711259, 120.7383207 31.2711116, 120.7381978 31.2711362, 120.7381232 31.2711605)",,,
9550311911,9550311912,0,"[1036623714, 1036623715]",service,False,False,37.332,"LINESTRING (120.7389131 31.2712644, 120.7388742 31.2713771, 120.7388019 31.2715864)",parking_aisle,yes,
9550311912,9550311911,0,"[1036623714, 1036623715]",service,False,True,37.332,"LINESTRING (120.7388019 31.2715864, 120.7388742 31.2713771, 120.7389131 31.2712644)",parking_aisle,yes,
9550311914,9550311911,0,1036623712,service,False,True,17.405,"LINESTRING (120.7390838 31.2713211, 120.7389131 31.2712644)",,,
9550311914,9550311918,0,1036623712,service,False,False,43.409,"LINESTRING (120.7390838 31.2713211, 120.7392144 31.2713645, 120.739263 31.271393, 120.7392933 31.2714189, 120.7392994 31.2714669, 120.7392519 31.271596)",,,
9550311914,9550311918,1,1036623716,service,False,False,46.601,"LINESTRING (120.7390838 31.2713211, 120.7390235 31.2715047, 120.7390265 31.2715267, 120.7390584 31.2715462, 120.7392519 31.271596)",parking_aisle,,
9550311918,9550311909,0,1036623712,service,False,False,117.36999999999999,"LINESTRING (120.7392519 31.271596, 120.7391841 31.2717808, 120.7389137 31.2726111)",,,
9550311918,9550311914,0,1036623712,service,False,True,43.409000000000006,"LINESTRING (120.7392519 31.271596, 120.7392994 31.2714669, 120.7392933 31.2714189, 120.739263 31.271393, 120.7392144 31.2713645, 120.7390838 31.2713211)",,,
9550311918,9550311914,1,1036623716,service,False,True,46.601,"LINESTRING (120.7392519 31.271596, 120.7390584 31.2715462, 120.7390265 31.2715267, 120.7390235 31.2715047, 120.7390838 31.2713211)",parking_aisle,,
9550311927,9550311846,0,1036623709,service,False,True,21.724,"LINESTRING (120.7373878 31.2714261, 120.7371647 31.2714686)",,,
9550311927,9550311893,0,1036623709,service,False,False,25.901,"LINESTRING (120.7373878 31.2714261, 120.7374561 31.2714131, 120.7375965 31.2713586, 120.7376326 31.2713311)",,,
