osmid,y,x,street_count,geometry
1223211394,24.4404607,118.0953379,3,POINT (118.0953379 24.4404607)
1408154359,24.4394089,118.0966927,3,POINT (118.0966927 24.4394089)
1408154368,24.4396136,118.0962548,3,POINT (118.0962548 24.4396136)
1641610483,24.4381356,118.0955793,3,POINT (118.0955793 24.4381356)
1641610484,24.437428,118.0962618,3,POINT (118.0962618 24.437428)
1641610492,24.4376629,118.0959914,4,POINT (118.0959914 24.4376629)
1641610505,24.4374654,118.0951363,3,POINT (118.0951363 24.4374654)
1641610551,24.4372436,118.0962951,3,POINT (118.0962951 24.4372436)
1641610637,24.4378758,118.0972472,3,POINT (118.0972472 24.4378758)
1641610668,24.4394298,118.0893365,3,POINT (118.0893365 24.4394298)
1641610670,24.4370043,118.0965714,3,POINT (118.0965714 24.4370043)
1641610680,24.436802,118.0952744,4,POINT (118.0952744 24.436802)
1641610704,24.4370925,118.0952165,4,POINT (118.0952165 24.4370925)
1653819387,24.4380957,118.0920018,3,POINT (118.0920018 24.4380957)
1653819438,24.4377144,118.0962329,3,POINT (118.0962329 24.4377144)
1653819553,24.4376192,118.0957129,3,POINT (118.0957129 24.4376192)
1653819598,24.4372475,118.093281,3,POINT (118.093281 24.4372475)
1653819619,24.4383218,118.092215,3,POINT (118.092215 24.4383218)
1653819640,24.4380322,118.0949598,3,POINT (118.0949598 24.4380322)
1653819663,24.4401101,118.0952293,3,POINT (118.0952293 24.4401101)
1653819826,24.4412485,118.0935732,4,POINT (118.0935732 24.4412485)
1653819956,24.436585,118.0953119,1,POINT (118.0953119 24.436585)
1653819999,24.4378986,118.0921442,3,POINT (118.0921442 24.4378986)
1653820031,24.4378488,118.0919157,3,POINT (118.0919157 24.4378488)
1653820065,24.4378694,118.0921236,3,POINT (118.0921236 24.4378694)
1653820089,24.437962,118.092159,3,POINT (118.092159 24.437962)
1653820222,24.4380717,118.0920934,3,POINT (118.0920934 24.4380717)
1653820417,24.4376265,118.0950531,3,POINT (118.0950531 24.4376265)
1653826085,24.4359564,118.0980758,3,POINT (118.0980758 24.4359564)
1653826086,24.4364118,118.0970943,4,POINT (118.0970943 24.4364118)
1676404719,24.4387421,118.095875,3,POINT (118.095875 24.4387421)
1676404722,24.437887,118.0980851,1,POINT (118.0980851 24.437887)
1676404727,24.4386674,118.0953922,3,POINT (118.0953922 24.4386674)
1676404729,24.4389552,118.0978519,3,POINT (118.0978519 24.4389552)
1682537264,24.4415712,118.0927331,4,POINT (118.0927331 24.4415712)
1682537467,24.438539,118.0912189,3,POINT (118.0912189 24.438539)
1682537512,24.4368201,118.0967076,3,POINT (118.0967076 24.4368201)
1682537568,24.4367825,118.0964392,1,POINT (118.0964392 24.4367825)
1686556740,24.441302,118.0910687,3,POINT (118.0910687 24.441302)
1686556742,24.4398034,118.0886885,3,POINT (118.0886885 24.4398034)
1686556758,24.4402454,118.0888752,3,POINT (118.0888752 24.4402454)
1686556773,24.4381405,118.0878206,1,POINT (118.0878206 24.4381405)
1686556777,24.4401198,118.088813,3,POINT (118.088813 24.4401198)
1686556807,24.4396882,118.0886226,3,POINT (118.0886226 24.4396882)
1686556817,24.4407545,118.0887149,3,POINT (118.0887149 24.4407545)
1686556822,24.4400328,118.0901966,3,POINT (118.0901966 24.4400328)
1761690544,24.4424133,118.0931187,3,POINT (118.0931187 24.4424133)
3045427752,24.4401105,118.0930427,3,POINT (118.0930427 24.4401105)
3045427754,24.4389323,118.0927895,3,POINT (118.0927895 24.4389323)
3045427755,24.4380303,118.0937175,1,POINT (118.0937175 24.4380303)
3045427756,24.4384613,118.094373,3,POINT (118.094373 24.4384613)
3045427757,24.43898,118.0925052,4,POINT (118.0925052 24.43898)
3045427759,24.4393492,118.0947788,4,POINT (118.0947788 24.4393492)
3045427766,24.4379295,118.0943449,3,POINT (118.0943449 24.4379295)
3045427769,24.4399702,118.0929745,3,POINT (118.0929745 24.4399702)
3045427771,24.4386663,118.0938292,3,POINT (118.0938292 24.4386663)
3045427773,24.4391008,118.0952466,1,POINT (118.0952466 24.4391008)
3050288060,24.4399608,118.0904623,3,POINT (118.0904623 24.4399608)
3050288062,24.4409351,118.0924212,3,POINT (118.0924212 24.4409351)
3050288063,24.4399959,118.0894826,3,POINT (118.0894826 24.4399959)
3050288064,24.4404083,118.090523,3,POINT (118.090523 24.4404083)
3050288066,24.4407983,118.0910666,3,POINT (118.0910666 24.4407983)
3050288067,24.4414054,118.0923662,1,POINT (118.0923662 24.4414054)
3050288068,24.4401972,118.0898381,3,POINT (118.0898381 24.4401972)
3050288069,24.4393593,118.0898904,3,POINT (118.0898904 24.4393593)
3050288072,24.4389802,118.0907399,3,POINT (118.0907399 24.4389802)
3050288075,24.4407265,118.089702,1,POINT (118.089702 24.4407265)
3050288076,24.4404141,118.091066,3,POINT (118.091066 24.4404141)
3050288078,24.4403898,118.0898251,3,POINT (118.0898251 24.4403898)
3050323614,24.4391808,118.0915663,3,POINT (118.0915663 24.4391808)
3050323618,24.4396627,118.0900312,3,POINT (118.0900312 24.4396627)
3051154954,24.4401035,118.0935674,1,POINT (118.0935674 24.4401035)
3051154957,24.4406283,118.0942162,1,POINT (118.0942162 24.4406283)
3051154958,24.4395834,118.093719,3,POINT (118.093719 24.4395834)
3051154959,24.4389017,118.0945743,3,POINT (118.0945743 24.4389017)
3051154960,24.4394683,118.094645,3,POINT (118.094645 24.4394683)
3051154961,24.4398736,118.0948426,4,POINT (118.0948426 24.4398736)
3051154963,24.4396352,118.0938385,3,POINT (118.0938385 24.4396352)
3051154966,24.4396708,118.0938513,3,POINT (118.0938513 24.4396708)
3051154971,24.4398632,118.0951529,3,POINT (118.0951529 24.4398632)
3051154974,24.4398028,118.0938988,3,POINT (118.0938988 24.4398028)
3051154979,24.439908,118.0943165,3,POINT (118.0943165 24.439908)
3051160186,24.4387129,118.0952172,3,POINT (118.0952172 24.4387129)
3051160187,24.4388762,118.0953464,3,POINT (118.0953464 24.4388762)
3051160190,24.437978,118.0946355,3,POINT (118.0946355 24.437978)
3051160193,24.438055,118.0980433,3,POINT (118.0980433 24.438055)
3051166258,24.4375389,118.0937294,3,POINT (118.0937294 24.4375389)
3051166259,24.4369673,118.0942404,3,POINT (118.0942404 24.4369673)
3051166260,24.437857,118.095829,3,POINT (118.095829 24.437857)
