element_type,osmid,nodes,building,geometry,name,amenity,name:en,building:levels,information,tourism
way,152570634,"[1653819661, 1653820293, 1653819716, 1653819730, 1653819661]",yes,"POLYGON ((118.0953685 24.4372316, 118.0956965 24.4373358, 118.0956365 24.4374922, 118.0953085 24.437388, 118.0953685 24.4372316))",,,,,,
way,152570652,"[1653819738, 1653820027, 1653819793, 1653819523, 1653819595, 1653819473, 1653820333, 1653820328, 1653819738]",yes,"POLYGON ((118.094738 24.4369765, 118.0948745 24.436993, 118.0948703 24.4370214, 118.0949881 24.4370356, 118.0949916 24.4370122, 118.0951407 24.4370302, 118.0951572 24.4369175, 118.0947538 24.4368686, 118.094738 24.4369765))",,,,,,
way,152570670,"[1653819708, 1653819560, 1653819534, 1653819939, 1653819818, 1653819526, 1653819689, 1653820121, 1653819708]",yes,"POLYGON ((118.0958068 24.4371308, 118.0962237 24.4371939, 118.0962574 24.4371845, 118.0962735 24.4371284, 118.0962467 24.4370942, 118.0961486 24.4370792, 118.0961563 24.4370342, 118.0958294 24.4369864, 118.0958068 24.4371308))",,,,,,
way,152570674,"[1653819987, 1653819956, 1653820262, 1653820094, 1653820286, 1653820061, 1653819428, 1653819672, 1653819419, 1653819651, 1653819664, 1653819974, 1653819895, 1653819987]",yes,"POLYGON ((118.095158 24.4365661, 118.0953119 24.436585, 118.0953944 24.4365951, 118.0954129 24.4364706, 118.0953783 24.4364664, 118.0954181 24.4361978, 118.0950724 24.4361553, 118.0950597 24.436241, 118.095109 24.4362471, 118.095101 24.4363012, 118.0953186 24.4363279, 118.0952972 24.436472, 118.0951742 24.4364568, 118.095158 24.4365661))",,,,,,
way,152570691,"[1653819890, 1653819571, 1653819525, 1653820410, 1653819576, 1653819545, 1653820457, 1653819551, 1653820389, 1653819544, 1653819650, 1653819584, 1653819616, 1653819713, 1653819950, 1653819585, 1653819890]",yes,"POLYGON ((118.0942323 24.4369061, 118.0942645 24.4367108, 118.0945649 24.436618, 118.0946454 24.4366278, 118.0946856 24.4366107, 118.0947151 24.4366082, 118.0947366 24.4366131, 118.0947634 24.4366302, 118.0947822 24.4366546, 118.0947849 24.4366937, 118.0947634 24.4367279, 118.0947351 24.4367397, 118.0947002 24.4367397, 118.0946803 24.4368646, 118.0947017 24.436872, 118.0946862 24.4369782, 118.0942323 24.4369061))",,,,,,
way,152570697,"[1653820092, 1653820387, 1653820182, 1653820123, 1653820092]",yes,"POLYGON ((118.0953154 24.4369102, 118.0957268 24.4369669, 118.0957014 24.4371199, 118.0952899 24.4370633, 118.0953154 24.4369102))",,,,,,
way,154987217,"[1674363934, 1674363887, 1674363940, 1674363725, 1674363934]",yes,"POLYGON ((118.0960237 24.4377854, 118.0961675 24.4378332, 118.0958271 24.4386826, 118.0956832 24.4386348, 118.0960237 24.4377854))",芙蓉四,,,,,
way,154987218,"[1674363685, 1674363863, 1674363864, 1674363930, 1674363685]",yes,"POLYGON ((118.0953921 24.4379177, 118.0956475 24.437968, 118.09567 24.4378735, 118.0954145 24.4378232, 118.0953921 24.4379177))",,,,,,
way,154987219,"[1674363654, 4723005481, 1674363660, 1674363773, 1674363654]",yes,"POLYGON ((118.0961471 24.4384154, 118.0968649 24.4385409, 118.0968404 24.4386578, 118.0961227 24.4385238, 118.0961471 24.4384154))",,,,,,
way,154987220,"[1674363721, 1674363921, 1674363916, 1674363868, 1674363721]",yes,"POLYGON ((118.0951584 24.437553, 118.0957537 24.4376731, 118.0957208 24.4378084, 118.0951254 24.4376883, 118.0951584 24.437553))",,,,,,
way,154987221,"[1674363794, 1674363676, 1674363709, 1674363742, 1674363794]",yes,"POLYGON ((118.0954344 24.4386932, 118.095567 24.4387151, 118.0953416 24.4398471, 118.095209 24.4398252, 118.0954344 24.4386932))",芙蓉二,,,,,
way,154987222,"[1674363942, 1674363938, 1674363796, 1674363883, 1674363942]",yes,"POLYGON ((118.0962542 24.4378134, 118.0970052 24.4379528, 118.0969639 24.4381371, 118.0962129 24.4379977, 118.0962542 24.4378134))",,,,,,
way,154987224,"[1674363699, 1674363682, 1674363733, 1674363711, 1674363677, 1674363891, 1674363699]",yes,"POLYGON ((118.0941778 24.4376679, 118.0942002 24.4375712, 118.094501 24.4376288, 118.0945151 24.4375679, 118.094942 24.4376497, 118.0949055 24.4378073, 118.0941778 24.4376679))",南光餐厅,,,,,
way,154987226,"[1674363648, 1674363932, 1674363884, 1674363842, 1674363648]",yes,"POLYGON ((118.0963241 24.4376459, 118.0970095 24.4377891, 118.0970359 24.4376842, 118.0963505 24.437541, 118.0963241 24.4376459))",,,,,,
way,154987227,"[1674363834, 1674363789, 1674363679, 1674363667, 1674363834]",yes,"POLYGON ((118.0938153 24.4376613, 118.0949543 24.4378612, 118.0949304 24.437974, 118.0937915 24.4377741, 118.0938153 24.4376613))",芙蓉一,,,,,
way,154987228,"[1674363919, 1674363793, 1674363841, 1674363792, 1674363840, 1674363791, 1674363718, 1674363924, 1674363935, 1674363888, 1674363646, 1674363859, 1674363686, 1674363704, 1674363823, 1674363905, 1674363781, 1674363631, 1674363673, 1674363919]",university,"POLYGON ((118.0951669 24.4384914, 118.0953225 24.438528, 118.0953601 24.438401, 118.0953601 24.4383644, 118.0953386 24.4383449, 118.0953037 24.4383327, 118.0952742 24.4383278, 118.0952805 24.4382964, 118.0952652 24.4382695, 118.0952233 24.4382594, 118.0949819 24.4382008, 118.0949658 24.4382643, 118.0949926 24.4382692, 118.094998 24.4383205, 118.0950087 24.4383669, 118.0950301 24.4384035, 118.0950597 24.4384255, 118.0950972 24.4384499, 118.0951187 24.4384499, 118.0951669 24.4384914))",厦门大学学生活动中心（自钦楼）,,,,,
way,154987230,"[1674363832, 1674363642, 1674363637, 1674363876, 1674363832]",yes,"POLYGON ((118.0961909 24.438156, 118.0969273 24.438293, 118.0969035 24.4383991, 118.0961671 24.4382621, 118.0961909 24.438156))",,,,,,
way,154987231,"[1674363913, 1674363689, 1674363758, 1674363766, 1674363735, 1674363904, 1674363911, 1674363732, 1674363764, 1674363915, 1674363808, 1674363799, 1674363800, 1674363848, 1674363873, 1674363836, 1674363928, 1674363831, 1674363828, 1674363692, 1674363736, 1674363908, 1674363768, 1674363870, 1674363913]",yes,"POLYGON ((118.0927422 24.4387209, 118.0936408 24.4383546, 118.0936086 24.438296, 118.093622 24.4382643, 118.0936166 24.4382155, 118.0935925 24.4381739, 118.0935576 24.4381227, 118.0935281 24.4381007, 118.0934879 24.438086, 118.093445 24.4380079, 118.0932331 24.4380909, 118.0932089 24.438047, 118.0929246 24.4381251, 118.092871 24.4381251, 118.0928281 24.4381227, 118.0927798 24.4381471, 118.0927449 24.4381446, 118.0926993 24.4381398, 118.0926457 24.4381251, 118.0925786 24.4381495, 118.0925437 24.4381886, 118.0925196 24.4382277, 118.0925116 24.4382643, 118.0925303 24.4383107, 118.0927422 24.4387209))",,,,,,
way,155906953,"[1682537434, 1682537431, 1682537265, 1682537332, 1682537370, 1682537445, 1682537434]",yes,"POLYGON ((118.0959055 24.4368125, 118.0959133 24.4367316, 118.095995 24.4367381, 118.095999 24.4366959, 118.0962281 24.4367142, 118.0962163 24.4368373, 118.0959055 24.4368125))",,,,,,
way,155906955,"[1682537790, 1682537296, 1682537806, 1682537702, 1682537662, 1682537629, 1682537476, 1682537790]",yes,"POLYGON ((118.0946744 24.4363928, 118.0946945 24.436359, 118.0948549 24.4364381, 118.0948406 24.436462, 118.094912 24.4364972, 118.0948491 24.436603, 118.0946173 24.4364887, 118.0946744 24.4363928))",,,,,,
way,155906957,"[1682537417, 1682537715, 1682537704, 1682537491, 1682537606, 1682537591, 1682537561, 1682537282, 1682537286, 1682537334, 1682537717, 1682537347, 1682537417]",yes,"POLYGON ((118.093277 24.4377042, 118.0935855 24.437692, 118.0935833 24.4376579, 118.0936744 24.4376552, 118.0936806 24.4378239, 118.0935975 24.4378258, 118.0935962 24.4378043, 118.0932802 24.437815, 118.0932809 24.4378418, 118.0931909 24.4378446, 118.0931833 24.4376738, 118.0932747 24.4376701, 118.093277 24.4377042))",,,,,,
way,155906963,"[1682537746, 1682537572, 1682537378, 1682537537, 1682537336, 1682537542, 1682537696, 1682537651, 1682537368, 1682537711, 1682537675, 1682537419, 1682537413, 1682537380, 1682537394, 1682537290, 1682537679, 1682537604, 1682537530, 1682537449, 1682537746]",yes,"POLYGON ((118.0945766 24.4364759, 118.0946565 24.4363197, 118.0946241 24.436306, 118.094657 24.4362418, 118.0949289 24.4363571, 118.0950057 24.4362068, 118.0947207 24.436086, 118.094791 24.4359485, 118.0948236 24.4359623, 118.0948755 24.4358608, 118.094721 24.4357953, 118.0946694 24.4358962, 118.0946929 24.4359062, 118.094619 24.4360507, 118.0945524 24.4360225, 118.0944934 24.4361378, 118.0945559 24.4361643, 118.0944851 24.4363028, 118.0944587 24.4362917, 118.0944023 24.436402, 118.0945766 24.4364759))",,,,,,
way,155906967,"[1682537649, 1682537338, 1682537407, 1682537473, 1682537649]",yes,"POLYGON ((118.0963413 24.4364985, 118.096979 24.4365774, 118.0969531 24.4367513, 118.0963153 24.4366723, 118.0963413 24.4364985))",,,,,,
way,155906972,"[1682537525, 1682537673, 1682537429, 1682537785, 1682537465, 1682537707, 1682537650, 1682537625, 1682537525]",yes,"POLYGON ((118.0954285 24.4364122, 118.0954506 24.4362842, 118.0956293 24.4363098, 118.0956363 24.4362694, 118.0957659 24.436288, 118.0957609 24.4363171, 118.0959537 24.4363447, 118.0959297 24.436484, 118.0954285 24.4364122))",,,,,,
way,155906983,"[1682537247, 1682537373, 1682537255, 1682537241, 1682537602, 1682537447, 1682537792, 1682537299, 1682537247]",yes,"POLYGON ((118.0959415 24.4365514, 118.095956 24.4364394, 118.0960781 24.4364526, 118.0960824 24.4364196, 118.0962009 24.4364324, 118.0961965 24.4364664, 118.0963191 24.4364796, 118.0963046 24.4365906, 118.0959415 24.4365514))",,,,,,
way,156122773,"[1684101611, 1684101638, 1684101516, 1684101450, 1684101611]",yes,"POLYGON ((118.0916775 24.4389993, 118.0921791 24.438797, 118.0922491 24.4389409, 118.0917476 24.4391432, 118.0916775 24.4389993))",钟铭选楼,,,,,
way,156122775,"[1684101381, 1684101502, 1684101649, 1684101604, 1684101381]",yes,"POLYGON ((118.0914506 24.4387244, 118.0918921 24.4385225, 118.091968 24.4386601, 118.0915265 24.438862, 118.0914506 24.4387244))",映雪楼,,,,,
way,156122776,"[1684101570, 1684101620, 1684101541, 1684101606, 1684101421, 1684101552, 1684101662, 1684101581, 1684101437, 1684101345, 1684101347, 1684101359, 1684101385, 1684101407, 1684101576, 1684101339, 1684101379, 1684101664, 1684101645, 1684101399, 1684101570]",yes,"POLYGON ((118.0920995 24.4401147, 118.0924053 24.4399999, 118.0925018 24.4401952, 118.0922283 24.4403076, 118.0923121 24.4404745, 118.0926343 24.4403497, 118.0927298 24.4405542, 118.0924723 24.4406567, 118.0925555 24.4408301, 118.0930597 24.4406323, 118.0929757 24.4404596, 118.092762 24.4405395, 118.0926718 24.4403352, 118.0928103 24.4402783, 118.0927379 24.4401122, 118.0925501 24.4401904, 118.0922068 24.4394798, 118.0921666 24.4394944, 118.0922926 24.4397484, 118.0919842 24.439868, 118.0920995 24.4401147))",嘉庚楼群,,,,,
way,156122777,"[1684101454, 1684101410, 1684101530, 1684101614, 1684101597, 1684101323, 1684101599, 1684101595, 1684101478, 1684101545, 1684101533, 1684101409, 1684101454]",yes,"POLYGON ((118.090278 24.4397821, 118.090462 24.4397003, 118.0904854 24.4397439, 118.0906799 24.4396575, 118.090657 24.4396147, 118.0908521 24.439528, 118.0909277 24.439669, 118.0907717 24.4397383, 118.0907883 24.4397694, 118.0905318 24.4398834, 118.0905142 24.4398506, 118.0903531 24.4399222, 118.090278 24.4397821))",群贤二,,,,,
way,156122782,"[1684101547, 1684101369, 1684101386, 1684101405, 1684101547]",yes,"POLYGON ((118.0896346 24.4400689, 118.0900984 24.4398661, 118.0901558 24.4399749, 118.089692 24.4401778, 118.0896346 24.4400689))",,,,,,
way,156122783,"[1684101602, 1684101665, 1684101367, 1684101472, 1684101602]",yes,"POLYGON ((118.0917867 24.4394099, 118.0922738 24.4392127, 118.0923428 24.439354, 118.0918558 24.4395512, 118.0917867 24.4394099))",,,,,,
way,156122784,"[1684101663, 1684101395, 1684101433, 1684101431, 4723654276, 1684101508, 1684101512, 1684101647, 1684101490, 8991846438, 1684101331, 1684101300, 1684101661, 1684101659, 1684101558, 1684101618, 8991846439, 1684101455, 1684101462, 1684101430, 1684101439, 1684101453, 1684101432, 1684101461, 1684101423, 1684101672, 1684101652, 1684101535, 1684101572, 4723654275, 1684101626, 1684101622, 1684101663]",yes,"POLYGON ((118.0913941 24.4389501, 118.0913345 24.4388414, 118.0908606 24.4390484, 118.090877 24.4390762, 118.0908163 24.4391021, 118.0907209 24.4391428, 118.0907048 24.4391184, 118.0900296 24.4394195, 118.0900435 24.4394445, 118.0899492 24.4394843, 118.0899127 24.4395008, 118.0898955 24.4394713, 118.0894188 24.4396829, 118.0894817 24.4397899, 118.0899573 24.4395751, 118.0899314 24.4395289, 118.0899661 24.4395149, 118.0900629 24.439474, 118.0900878 24.4395169, 118.0903305 24.4394115, 118.0903507 24.439448, 118.0903883 24.4394309, 118.0904439 24.4395375, 118.0905672 24.439479, 118.0905197 24.4393845, 118.0905572 24.4393674, 118.0905368 24.4393285, 118.0907653 24.4392242, 118.0907396 24.4391819, 118.090837 24.4391387, 118.0908981 24.4391117, 118.0909219 24.4391568, 118.0913941 24.4389501))",群贤楼群,,,,,
way,156122793,"[1684101343, 1684101358, 1684101365, 1684101363, 1684101343]",yes,"POLYGON ((118.0888 24.439897, 118.0892492 24.4397042, 118.089327 24.4398543, 118.0888778 24.4400472, 118.0888 24.439897))",囊萤楼,,,,,
way,156122794,"[1684101310, 1684101505, 1684101368, 1684101498, 1684101310]",yes,"POLYGON ((118.0914642 24.4395835, 118.091614 24.4395263, 118.0916558 24.4396171, 118.0915061 24.4396742, 118.0914642 24.4395835))",,,,,,
way,156122801,"[1684101592, 1684101308, 1684101406, 1684101643, 1684101592]",yes,"POLYGON ((118.0910778 24.4394228, 118.0915384 24.4392248, 118.0915945 24.439333, 118.0911339 24.439531, 118.0910778 24.4394228))",集美二,,,,,
way,156165997,"[1684501461, 1684501573, 1684501375, 1684501378, 1684501527, 1684501484, 1684501516, 1684501539, 1684501548, 1684501478, 1684501541, 1684501435, 1684501461]",university,"POLYGON ((118.0892343 24.4409349, 118.090045 24.4409404, 118.090047 24.4406958, 118.0899427 24.4406951, 118.089944 24.4405383, 118.0906868 24.4405434, 118.0906855 24.4407056, 118.0901638 24.4407021, 118.0901619 24.4409393, 118.090272 24.4409401, 118.0902708 24.44108, 118.0892331 24.441073, 118.0892343 24.4409349))",厦门大学化学化工学院,,,,,
way,156165998,"[1684501444, 1684501532, 1684501448, 1684501473, 1684501404, 1684501526, 1684501438, 1684501523, 1684501530, 1684501470, 1684501521, 1684501444]",yes,"POLYGON ((118.0905754 24.4402462, 118.0905738 24.4401837, 118.0906679 24.4401818, 118.0906667 24.4401294, 118.0907219 24.4401283, 118.0907227 24.4401639, 118.0909419 24.4401594, 118.0909427 24.4401905, 118.0909702 24.4401899, 118.0909714 24.4402381, 118.090935 24.4402389, 118.0905754 24.4402462))",,,,,,
way,156165999,"[1684501533, 1684501534, 1684501545, 1684501388, 1684501392, 1684501581, 1684501543, 1684501402, 1684501533]",yes,"POLYGON ((118.0901135 24.4401879, 118.0903225 24.4401925, 118.0903238 24.4401403, 118.0903693 24.4401413, 118.0903686 24.4401689, 118.0904626 24.4401709, 118.0904599 24.4402737, 118.0901114 24.440266, 118.0901135 24.4401879))",,,,,,
way,156166981,"[1684505741, 1684505750, 1684505740, 1684505734, 1684505752, 1684505735, 1684505746, 1684505741]",yes,"POLYGON ((118.0938848 24.4400666, 118.0940228 24.4400111, 118.0942609 24.440502, 118.0941606 24.4405423, 118.0939774 24.4401646, 118.0939397 24.4401797, 118.0939093 24.440117, 118.0938848 24.4400666))",,,,,,
way,156166982,"[1684505742, 1684505755, 1684505754, 1684505738, 1684505742]",yes,"POLYGON ((118.0942824 24.4406192, 118.0952133 24.4402875, 118.0952647 24.4404069, 118.0943337 24.4407386, 118.0942824 24.4406192))",芙蓉三,,,,,
way,156166983,"[1684505737, 1684505745, 1684505736, 1684505747, 1684505737]",yes,"POLYGON ((118.0941884 24.4398756, 118.0941782 24.4397952, 118.0942868 24.4397837, 118.094297 24.4398642, 118.0941884 24.4398756))",,,,,,
way,156166984,"[1684505753, 1684505748, 1684505743, 1684505744, 1684505739, 1684505749, 1684505753]",yes,"POLYGON ((118.0941445 24.4401691, 118.094214 24.4401406, 118.0941625 24.4400364, 118.0941895 24.4400253, 118.0941669 24.4399796, 118.0940703 24.4400192, 118.0941445 24.4401691))",,,,,,
way,156167732,"[1684512463, 1684512464, 1684512448, 1684512462, 1684512463]",yes,"POLYGON ((118.0978254 24.4378807, 118.0978436 24.4377949, 118.0973465 24.4377076, 118.0973283 24.4377934, 118.0978254 24.4378807))",,,,,,
way,156412903,"[1686556747, 1686556741, 1686556829, 1686556762, 1686556736, 1686556753, 1686556747]",yes,"POLYGON ((118.0892039 24.4410154, 118.0892039 24.440516, 118.0890309 24.440516, 118.089031 24.4408456, 118.0887845 24.4408456, 118.0887845 24.4410155, 118.0892039 24.4410154))",,,,,,
way,156412908,"[1686556794, 1686556816, 1686556731, 1686556791, 1686556790, 1686556775, 1686556802, 1686556733, 1686556797, 1686556756, 1686556739, 1686556819, 1686556768, 1686556795, 1686556794]",yes,"POLYGON ((118.0890388 24.4403237, 118.0894755 24.4401295, 118.0895667 24.4403151, 118.0895962 24.4403713, 118.089615 24.4404299, 118.0896284 24.4404836, 118.089623 24.4405593, 118.0893199 24.4405617, 118.0893119 24.4404983, 118.0892609 24.4405153, 118.0892207 24.4404299, 118.0891939 24.4404421, 118.089159 24.4403737, 118.0890758 24.4404079, 118.0890388 24.4403237))",,,,,,
way,409154035,"[4110444781, 4110444782, 4110444783, 4110444784, 4110444785, 4110444786, 4110444787, 4110444788, 4110444889, 4110444890, 4110444891, 4110444892, 4110444893, 4110444781]",university,"POLYGON ((118.0889365 24.441571, 118.089666 24.4415662, 118.0896714 24.4416931, 118.0898538 24.4416931, 118.0899235 24.4417713, 118.0899235 24.4419715, 118.0901006 24.4419862, 118.0900845 24.4421962, 118.0894032 24.4421864, 118.0893924 24.4420594, 118.0898592 24.4420594, 118.0898645 24.4419324, 118.0889526 24.4419227, 118.0889365 24.441571))",厦门大学经济学院,,,,,
way,409154036,"[4110444894, 4110444895, 4110444896, 4110444897, 4110444898, 4110444899, 4110444900, 4110444894]",yes,"POLYGON ((118.0911144 24.4417176, 118.0911252 24.4408922, 118.0913826 24.4408922, 118.0913934 24.4410143, 118.0922034 24.4410045, 118.0923643 24.4413806, 118.0914202 24.4417224, 118.0911144 24.4417176))",厦门大学图书馆,library,"Library, Amoy University",,,
way,459839525,"[4555740367, 4555740368, 4555740369, 4555740370, 4555740371, 4555740372, 4555740373, 4555740367]",yes,"POLYGON ((118.093695 24.4434851, 118.0936503 24.4433852, 118.0943028 24.4431261, 118.0943536 24.443226, 118.0943801 24.4432792, 118.0943292 24.4432982, 118.0937194 24.4435406, 118.093695 24.4434851))",国光三,,,2,,
