element_type,osmid,nodes,building,source,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,leisure,name,amenity,drink:tea,addr:district,addr:province,layer
way,116484096,"[1313051453, 1313051766, 1313051962, 1313051720, 1313051430, 1313052489, 1313051293, 1313051357, 1313051306, 1313052186, 1313052276, 1313051453]",yes,bing,"POLYGON ((120.0168909 30.2175002, 120.0168587 30.2173797, 120.0169553 30.2169903, 120.0176849 30.2170181, 120.0176312 30.2173472, 120.0176795 30.2173658, 120.0176902 30.2175929, 120.0175347 30.2176254, 120.0172396 30.2175976, 120.0170519 30.2175512, 120.0170572 30.2175188, 120.0168909 30.2175002))",,,,,,,,,,,
way,305150818,"[3097290915, 3575352005, 3575352004, 3575352003, 3575352002, 3097290916, 3575352001, 3575352000, 3097290917, 3097290918, 3575351999, 3575351998, 3575351997, 3575351996, 3575351995, 3575351994, 3575351993, 3097290919, 3097290920, 3097290921, 3097290922, 3097290923, 3097290924, 3097290925, 3097290926, 3097290927, 3097290928, 3097297729, 3097297730, 3097297731, 3097297732, 3097297733, 3097297734, 3097297735, 3097297736, 3097297737, 3097297738, 3097290915]",yes,,"POLYGON ((120.0341253 30.2278729, 120.0342323 30.2278894, 120.0343202 30.2278873, 120.034413 30.2278729, 120.0344985 30.2278503, 120.0345675 30.2278154, 120.0346388 30.2277764, 120.0347173 30.227762, 120.0347838 30.22776, 120.0348647 30.2277723, 120.0349241 30.2277908, 120.0349812 30.2278216, 120.0350263 30.2278565, 120.0350691 30.2278914, 120.0351262 30.2279263, 120.0351832 30.2279346, 120.0352617 30.2279387, 120.0353354 30.2279263, 120.035402 30.2278894, 120.0354519 30.2278421, 120.0354923 30.2277702, 120.0355042 30.2276901, 120.0354685 30.2275874, 120.035402 30.2275114, 120.0344011 30.2270739, 120.0342869 30.2270656, 120.0341847 30.2270739, 120.0340872 30.2270985, 120.0340017 30.2271375, 120.0339042 30.2272218, 120.0338352 30.227308, 120.0337972 30.2273984, 120.0337901 30.2274991, 120.0338115 30.2276038, 120.0338614 30.2276922, 120.0339303 30.22776, 120.0340159 30.2278236, 120.0341253 30.2278729))",杭州,288,310023,留和路,sports_centre,浙江工业大学体育馆,,,,,
way,305157253,"[3097359435, 3097359436, 3097359437, 3097359451, 3097359438, 3097359439, 3097359440, 3097359441, 3097359442, 3097359443, 3097359444, 3097359445, 3097359450, 3097359446, 3097359447, 3097359448, 3097359435]",yes,,"POLYGON ((120.029759 30.2278138, 120.0296517 30.2277164, 120.0295605 30.2274708, 120.0294532 30.2274383, 120.0293781 30.2272622, 120.0293796 30.2270375, 120.0296517 30.2270388, 120.0296525 30.2269195, 120.0302907 30.2269227, 120.0302899 30.2270526, 120.0305842 30.2270542, 120.0305812 30.2274853, 120.0304617 30.2274847, 120.030392 30.2276701, 120.0302472 30.2278277, 120.0300218 30.2278879, 120.029759 30.2278138))",杭州,,,留和路,,浙江工业大学图书馆,library,,,,
way,306534031,"[3575318862, 3114773129, 3114773130, 3114773131, 3114773132, 3114773133, 3575318862]",university,,"POLYGON ((120.0261048 30.224781, 120.0270081 30.2247833, 120.02701 30.2242071, 120.0263068 30.2242054, 120.0263059 30.2244914, 120.0261058 30.224491, 120.0261048 30.224781))",杭州,,310023,留和路,,法学楼,,,,,
way,306534460,"[3575370526, 3114776912, 3114776913, 3575370527, 3575370526]",university,,"POLYGON ((120.0316773 30.2265205, 120.0316764 30.2262551, 120.032709 30.2262522, 120.03271 30.2265178, 120.0316773 30.2265205))",杭州,,310023,留和路,,语林楼,,,,,
way,331784574,"[3388907275, 3388907276, 3388907277, 3388907278, 3388907275]",yes,,"POLYGON ((120.0192947 30.2230536, 120.0194181 30.2228821, 120.0191552 30.2227152, 120.0190265 30.2228589, 120.0192947 30.2230536))",,,,,,Kantine,restaurant,,,,
way,356749517,"[3621538105, 3621538106, 3621538107, 3621538108, 3621538105]",detached,,"POLYGON ((120.0199312 30.2267881, 120.0199687 30.2267139, 120.0198883 30.2266815, 120.0198507 30.226751, 120.0199312 30.2267881))",,,,,,,,,,,
way,356749518,"[3621538109, 3621538110, 3621538111, 3621538112, 3621538109]",detached,,"POLYGON ((120.0200438 30.2268159, 120.020076 30.2267418, 120.0199956 30.2267186, 120.0199687 30.2267927, 120.0200438 30.2268159))",,,,,,,,,,,
way,356903852,"[3623012644, 3623012645, 3623012646, 3623012647, 3623012644]",yes,,"POLYGON ((120.0178449 30.2188678, 120.0179737 30.2187403, 120.0180622 30.2188284, 120.0179415 30.2189489, 120.0178449 30.2188678))",,,,,,,cafe,yes,,,
way,415494705,"[4165556449, 5306827236, 4165556450, 5306827237, 5306827255, 4165556451, 4165556453, 4165556454, 4165556455, 4165556456, 4165556457, 4165556458, 4165556461, 4165556462, 4165556449]",yes,,"POLYGON ((120.0393821 30.2318111, 120.039298 30.2317661, 120.0394285 30.2315844, 120.0394198 30.2315163, 120.039478 30.2314452, 120.0396091 30.2314262, 120.0406984 30.2319838, 120.0405635 30.2321804, 120.0404242 30.2321091, 120.0403551 30.2321635, 120.0399581 30.2321635, 120.0398528 30.232107, 120.0398027 30.2321768, 120.0393094 30.2319122, 120.0393821 30.2318111))",,,,,,养贤府,restaurant,,,,
