osmid,y,x,street_count,highway,geometry
1327558234,30.2263459,120.0304685,3,,POINT (120.0304685 30.2263459)
1327558381,30.2287568,120.0358523,5,,POINT (120.0358523 30.2287568)
1327558395,30.2259608,120.0283528,4,,POINT (120.0283528 30.2259608)
1329050108,30.2283136,120.0335291,3,,POINT (120.0335291 30.2283136)
1329050319,30.2261957,120.0300867,3,,POINT (120.0300867 30.2261957)
1329050360,30.225239,120.0298767,3,,POINT (120.0298767 30.225239)
1329050390,30.2265671,120.0335181,3,,POINT (120.0335181 30.2265671)
3114776911,30.2265652,120.0316146,3,,POINT (120.0316146 30.2265652)
3575318834,30.2337098,120.0373357,3,,POINT (120.0373357 30.2337098)
3575318839,30.2324677,120.0364431,3,,POINT (120.0364431 30.2324677)
3575318840,30.2322837,120.0362311,3,,POINT (120.0362311 30.2322837)
3575318841,30.2322525,120.0361732,3,,POINT (120.0361732 30.2322525)
3575318842,30.2321153,120.0358162,3,,POINT (120.0358162 30.2321153)
3575318847,30.2310691,120.0340117,3,,POINT (120.0340117 30.2310691)
3575347133,30.2297779,120.0329165,1,,POINT (120.0329165 30.2297779)
3575370506,30.2265787,120.0306193,3,,POINT (120.0306193 30.2265787)
3575370512,30.2262,120.0298742,3,,POINT (120.0298742 30.2262)
3575370521,30.2253328,120.0267086,3,,POINT (120.0267086 30.2253328)
3575370528,30.2282489,120.0323585,3,,POINT (120.0323585 30.2282489)
3575370529,30.2265658,120.0323331,3,,POINT (120.0323331 30.2265658)
3575378593,30.2255279,120.0316098,3,,POINT (120.0316098 30.2255279)
3575378610,30.2262818,120.0316115,3,,POINT (120.0316115 30.2262818)
3575424313,30.2258924,120.0306089,3,,POINT (120.0306089 30.2258924)
3575424319,30.2259429,120.0316107,3,,POINT (120.0316107 30.2259429)
3575424320,30.225485,120.0306135,3,,POINT (120.0306135 30.225485)
3575424322,30.2254716,120.031609,3,,POINT (120.031609 30.2254716)
3575424323,30.2254762,120.0313868,3,,POINT (120.0313868 30.2254762)
