osmid,y,x,street_count,geometry
6831490850,34.7811294,113.6584401,1,POINT (113.6584401 34.7811294)
6831490851,34.781992,113.6584434,3,POINT (113.6584434 34.781992)
6831490852,34.7811338,113.6587317,1,POINT (113.6587317 34.7811338)
6831490854,34.7819891,113.6595713,3,POINT (113.6595713 34.7819891)
6831491231,34.7819951,113.657624,3,POINT (113.657624 34.7819951)
6831491241,34.782981,113.6599588,4,POINT (113.6599588 34.782981)
6831491243,34.7820018,113.6566852,3,POINT (113.6566852 34.7820018)
6831491246,34.7838638,113.6565994,3,POINT (113.6565994 34.7838638)
6831793239,34.7831705,113.6576106,1,POINT (113.6576106 34.7831705)
6831793240,34.7831739,113.6565872,3,POINT (113.6565872 34.7831739)
6831830736,34.7846046,113.6584702,1,POINT (113.6584702 34.7846046)
6831830737,34.7838667,113.6584595,3,POINT (113.6584595 34.7838667)
6831830835,34.7818289,113.6530582,3,POINT (113.6530582 34.7818289)
6831830838,34.7818289,113.6537334,3,POINT (113.6537334 34.7818289)
6831830840,34.7818289,113.6536731,3,POINT (113.6536731 34.7818289)
6831830844,34.7818289,113.6529113,3,POINT (113.6529113 34.7818289)
6831830845,34.7818289,113.6525144,1,POINT (113.6525144 34.7818289)
6831830962,34.7826374,113.653248,3,POINT (113.653248 34.7826374)
6831831071,34.7819928,113.6581323,3,POINT (113.6581323 34.7819928)
6831831072,34.7829791,113.659116,3,POINT (113.659116 34.7829791)
6831831073,34.7829819,113.6588584,3,POINT (113.6588584 34.7829819)
6831831074,34.7838662,113.6581601,3,POINT (113.6581601 34.7838662)
6831831075,34.782989,113.6581471,3,POINT (113.6581471 34.782989)
