element_type,osmid,nodes,building,geometry
way,729165794,"[6831490858, 6831490855, 6831490856, 6831490857, 6831490858]",yes,"POLYGON ((113.6596195 34.7817529, 113.6602968 34.7817529, 113.6602968 34.7816427, 113.6596195 34.7816427, 113.6596195 34.7817529))"
way,729165795,"[6831490862, 6831490859, 6831490860, 6831490861, 6831490862]",yes,"POLYGON ((113.6596383 34.7813013, 113.6603209 34.7813013, 113.6603209 34.7811614, 113.6596383 34.7811614, 113.6596383 34.7813013))"
way,729165796,"[6831490866, 6831490865, 6831490864, 6831490863, 6831490866]",yes,"POLYGON ((113.6593205 34.7811911, 113.6593205 34.7814081, 113.6593848 34.7814081, 113.6593848 34.7811911, 113.6593205 34.7811911))"
way,729165797,"[6831490869, 6831490870, 6831490867, 6831490866, 6831490865, 6831490869]",yes,"POLYGON ((113.6593205 34.7814125, 113.6587304 34.7814125, 113.6587304 34.7811911, 113.6593205 34.7811911, 113.6593205 34.7814081, 113.6593205 34.7814125))"
way,729165798,"[6831490871, 6831490868, 6831490869, 6831490870, 6831490871]",yes,"POLYGON ((113.6587304 34.781624, 113.6593205 34.781624, 113.6593205 34.7814125, 113.6587304 34.7814125, 113.6587304 34.781624))"
way,729165799,"[6831490875, 6831490872, 6831490873, 6831490874, 6831490875]",yes,"POLYGON ((113.6585145 34.7816339, 113.6586848 34.7816339, 113.6586848 34.7811581, 113.6585145 34.7811581, 113.6585145 34.7816339))"
way,729165800,"[6831490879, 6831490878, 6831490877, 6831490876, 6831490879]",yes,"POLYGON ((113.6583871 34.7815876, 113.6583871 34.7813762, 113.6583039 34.7813762, 113.6583039 34.7815876, 113.6583871 34.7815876))"
way,729165802,"[6831490887, 6831490884, 6831490885, 6831490886, 6831490887]",yes,"POLYGON ((113.6577085 34.7812825, 113.6583669 34.7812825, 113.6583669 34.7811515, 113.6577085 34.7811515, 113.6577085 34.7812825))"
way,729165803,"[6831490891, 6831490890, 6831490889, 6831490888, 6831490891]",yes,"POLYGON ((113.6576951 34.7817562, 113.6583723 34.7817562, 113.6583723 34.7816372, 113.6576951 34.7816372, 113.6576951 34.7817562))"
way,729205892,"[6831830695, 6831830692, 6831830693, 6831830694, 6831830695]",yes,"POLYGON ((113.6535631 34.7843204, 113.6540552 34.784317, 113.654054 34.7841981, 113.6535619 34.7842015, 113.6535631 34.7843204))"
way,729205893,"[6831830699, 6831830696, 6831830697, 6831830698, 6831830699]",yes,"POLYGON ((113.6535417 34.784609, 113.654042 34.7846055, 113.6540405 34.7844625, 113.6535402 34.7844659, 113.6535417 34.784609))"
way,729205894,"[6831830703, 6831830700, 6831830701, 6831830702, 6831830703]",yes,"POLYGON ((113.6603357 34.783817, 113.660337 34.7836602, 113.6602136 34.7836595, 113.6602124 34.7838164, 113.6603357 34.783817))"
way,729205895,"[6831830709, 6831830705, 6831830704, 6831830708, 6831830707, 6831830706, 6831830709]",yes,"POLYGON ((113.6599977 34.7839294, 113.6602445 34.7839307, 113.6602439 34.7840039, 113.6603411 34.7840045, 113.6603424 34.7838479, 113.6599984 34.783846, 113.6599977 34.7839294))"
way,729205896,"[6831830713, 6831830712, 6831830711, 6831830710, 6831830713]",yes,"POLYGON ((113.6595297 34.7841684, 113.6602538 34.7841724, 113.660255 34.7840353, 113.6595308 34.7840313, 113.6595297 34.7841684))"
way,729205897,"[6831830722, 6831830715, 6831830714, 6831830717, 6831830716, 6831830721, 6831830720, 6831830718, 6831830719, 6831830723, 6831830722]",yes,"POLYGON ((113.6601843 34.7846211, 113.660266 34.7846216, 113.6603436 34.7845633, 113.6603464 34.784218, 113.6601658 34.784217, 113.6601636 34.7844789, 113.6593314 34.7844743, 113.6593309 34.7845294, 113.6593788 34.7845297, 113.6593781 34.7846167, 113.6601843 34.7846211))"
way,729205898,"[6831830735, 6831830734, 6831830727, 6831830730, 6831830729, 6831830726, 6831830733, 6831830732, 6831830724, 6831830728, 6831830731, 6831830725, 6831830735]",yes,"POLYGON ((113.658548 34.7846178, 113.6592105 34.7846214, 113.6592112 34.7845357, 113.65924 34.7845359, 113.6592413 34.7843744, 113.6592125 34.7843742, 113.6592132 34.7842951, 113.6585507 34.7842914, 113.65855 34.7843706, 113.6585131 34.7843704, 113.6585118 34.7845319, 113.6585487 34.7845321, 113.658548 34.7846178))"
way,729205900,"[6831830748, 6831830745, 6831830738, 6831830739, 6831830740, 6831830748]",yes,"POLYGON ((113.6580518 34.7842686, 113.6580525 34.7841852, 113.6580525 34.7841756, 113.6579539 34.784175, 113.6579531 34.7842681, 113.6580518 34.7842686))"
way,729205901,"[6831830744, 6831830743, 6831830742, 6831830741, 6831830744]",yes,"POLYGON ((113.6579606 34.7841398, 113.6583058 34.7841417, 113.6583066 34.7840483, 113.6579614 34.7840464, 113.6579606 34.7841398))"
way,729205902,"[6831830748, 6831830747, 6831830746, 6831830745, 6831830748]",yes,"POLYGON ((113.6580518 34.7842686, 113.6584052 34.7842706, 113.6584058 34.7841871, 113.6580525 34.7841852, 113.6580518 34.7842686))"
way,729205903,"[6831830752, 6831830751, 6831830750, 6831830749, 6831830752]",yes,"POLYGON ((113.6578278 34.7845517, 113.65843 34.784555, 113.6584312 34.7844, 113.6578291 34.7843967, 113.6578278 34.7845517))"
way,729205904,"[6831830756, 6831830753, 6831830754, 6831830755, 6831830756]",yes,"POLYGON ((113.656763 34.7846222, 113.657286 34.7846186, 113.6572847 34.78449, 113.6567617 34.7844936, 113.656763 34.7846222))"
way,729205905,"[6831830760, 6831830757, 6831830758, 6831830759, 6831830760]",yes,"POLYGON ((113.6559999 34.7841343, 113.656484 34.7841309, 113.6564827 34.784001, 113.6559986 34.7840043, 113.6559999 34.7841343))"
way,729205906,"[6831830772, 6831830768, 6831830767, 6831830766, 6831830765, 6831830769, 6831830770, 6831830771, 6831830772]",yes,"POLYGON ((113.656079 34.7845352, 113.6561085 34.784535, 113.656109 34.7845863, 113.656413 34.7845842, 113.6564124 34.7845329, 113.6561679 34.7845346, 113.6561662 34.7843634, 113.6560773 34.784364, 113.656079 34.7845352))"
way,729205907,"[6831830764, 6831830761, 6831830762, 6831830763, 6831830764]",yes,"POLYGON ((113.656195 34.7845214, 113.6564377 34.7845197, 113.6564364 34.7843942, 113.6561937 34.7843959, 113.656195 34.7845214))"
way,729205908,"[6831830777, 6831830775, 6831830774, 6831830773, 6831830777]",yes,"POLYGON ((113.6555935 34.7842367, 113.655597 34.7845711, 113.6558564 34.7845693, 113.655853 34.7842349, 113.6555935 34.7842367))"
way,729205909,"[6831830779, 6831830776, 6831830775, 6831830777, 6831830778, 6831830779]",yes,"POLYGON ((113.6554259 34.784598, 113.6555972 34.7845968, 113.655597 34.7845711, 113.6555935 34.7842367, 113.6554222 34.7842379, 113.6554259 34.784598))"
way,729205910,"[6831830783, 6831830780, 6831830781, 6831830782, 6831830783]",yes,"POLYGON ((113.6550893 34.7845991, 113.6554026 34.7845969, 113.6554018 34.7845165, 113.6550885 34.7845186, 113.6550893 34.7845991))"
way,729205911,"[6831830787, 6831830784, 6831830785, 6831830786, 6831830787]",yes,"POLYGON ((113.654923 34.7846079, 113.6550579 34.784607, 113.6550544 34.7842631, 113.6549195 34.7842641, 113.654923 34.7846079))"
way,729205912,"[6831830791, 6831830790, 6831830789, 6831830788, 6831830791]",yes,"POLYGON ((113.652859 34.7840736, 113.6528563 34.7838082, 113.6534494 34.7838042, 113.6534521 34.7840696, 113.652859 34.7840736))"
way,729205913,"[6831830799, 6831830797, 6831830794, 6831830793, 6831830792, 6831830795, 6831830798, 6831830796, 6831830791, 6831830790, 6831830800, 6831830801, 6831830802, 6831830799]",yes,"POLYGON ((113.6526538 34.7845539, 113.652993 34.7845516, 113.6530548 34.7845291, 113.6530964 34.7845005, 113.6531192 34.7844768, 113.6531507 34.7844174, 113.6531495 34.784305, 113.6528614 34.784307, 113.652859 34.7840736, 113.6528563 34.7838082, 113.652855 34.7836827, 113.6525492 34.7836848, 113.6525573 34.7844768, 113.6526538 34.7845539))"
way,729205914,"[6831830810, 6831830806, 6831830804, 6831830803, 6831830805, 6831830807, 6831830808, 6831830809, 6831830810]",yes,"POLYGON ((113.652501 34.7834745, 113.6526619 34.7834734, 113.6526609 34.7833758, 113.6529694 34.7833737, 113.6529704 34.7834713, 113.653188 34.7834698, 113.6531849 34.7831683, 113.6524979 34.783173, 113.652501 34.7834745))"
way,729205915,"[6831830874, 6831830813, 6831830812, 6831830811, 6831830874]",yes,"POLYGON ((113.6524782 34.7825757, 113.6524794 34.7827012, 113.6526284 34.7827001, 113.6526271 34.7825747, 113.6524782 34.7825757))"
way,729205916,"[6831830817, 6831830816, 6831830815, 6831830814, 6831830817]",yes,"POLYGON ((113.6531179 34.7827466, 113.653117 34.7826585, 113.6529824 34.7826594, 113.6529833 34.7827475, 113.6531179 34.7827466))"
way,729205917,"[6831830821, 6831830818, 6831830819, 6831830817, 6831830814, 6831830820, 6831830821]",yes,"POLYGON ((113.6524892 34.7829248, 113.6531411 34.7829204, 113.6531393 34.7827464, 113.6531179 34.7827466, 113.6529833 34.7827475, 113.6524875 34.7827509, 113.6524892 34.7829248))"
way,729205919,"[6831830829, 6831830826, 6831830827, 6831830828, 6831830829]",yes,"POLYGON ((113.6531648 34.7825691, 113.6532637 34.7825684, 113.6532627 34.782471, 113.6531638 34.7824717, 113.6531648 34.7825691))"
way,729205920,"[6831830833, 6831830832, 6831830831, 6831830830, 6831830833]",yes,"POLYGON ((113.6533029 34.7824105, 113.6533005 34.7821689, 113.6531474 34.78217, 113.6531498 34.7824115, 113.6533029 34.7824105))"
way,729205924,"[6831830849, 6831830846, 6831830847, 6831830848, 6831830849]",yes,"POLYGON ((113.6524902 34.7819875, 113.6529862 34.7819841, 113.6529851 34.7818762, 113.6524891 34.7818796, 113.6524902 34.7819875))"
way,729205925,"[6831830854, 6831830852, 6831830851, 6831830850, 6831830854]",yes,"POLYGON ((113.6526686 34.7820382, 113.6526694 34.7821174, 113.6529811 34.7821153, 113.6529803 34.782036, 113.6526686 34.7820382))"
way,729205926,"[6831830856, 6831830853, 6831830852, 6831830854, 6831830855, 6831830856]",yes,"POLYGON ((113.6524862 34.7822485, 113.6526707 34.7822473, 113.6526694 34.7821174, 113.6526686 34.7820382, 113.6524841 34.7820394, 113.6524862 34.7822485))"
way,729205927,"[6831830861, 6831830860, 6831830859, 6831830858, 6831830857, 6831830861]",yes,"POLYGON ((113.652745 34.782297, 113.6527461 34.7824, 113.6527462 34.7824089, 113.6529972 34.7824071, 113.652996 34.7822953, 113.652745 34.782297))"
way,729205928,"[6831830873, 6831830870, 6831830860, 6831830861, 6831830862, 6831830873]",yes,"POLYGON ((113.6524764 34.7824018, 113.652572 34.7824012, 113.6527461 34.7824, 113.652745 34.782297, 113.6524753 34.7822989, 113.6524764 34.7824018))"
way,729205929,"[6831830874, 6831830811, 6831830871, 6831830872, 6831830865, 6831830864, 6831830863, 6831830866, 6831830867, 6831830868, 6831830869, 6831830870, 6831830873, 6831830874]",yes,"POLYGON ((113.6524782 34.7825757, 113.6526271 34.7825747, 113.6529869 34.7825722, 113.6529857 34.7824535, 113.6528349 34.7824546, 113.6528352 34.7824806, 113.652756 34.7824811, 113.6527558 34.7824551, 113.6526198 34.782456, 113.6526203 34.782503, 113.652573 34.7825033, 113.652572 34.7824012, 113.6524764 34.7824018, 113.6524782 34.7825757))"
way,729205930,"[6831830878, 6831830831, 6831830832, 6831830875, 6831830876, 6831830877, 6831830878]",yes,"POLYGON ((113.6530924 34.7821703, 113.6531474 34.78217, 113.6533005 34.7821689, 113.65367 34.7821664, 113.6536677 34.7819379, 113.6530901 34.7819419, 113.6530924 34.7821703))"
way,729205931,"[6831830885, 6831830883, 6831830882, 6831830879, 6831830880, 6831830881, 6831830885]",yes,"POLYGON ((113.655552 34.7814797, 113.6555504 34.781321, 113.6550714 34.7813243, 113.6550726 34.7814432, 113.6553762 34.7814411, 113.6553766 34.7814809, 113.655552 34.7814797))"
way,729205932,"[6831830887, 6831830884, 6831830885, 6831830881, 6831830886, 6831830887]",yes,"POLYGON ((113.6550611 34.7817374, 113.6555546 34.7817341, 113.655552 34.7814797, 113.6553766 34.7814809, 113.6550585 34.7814831, 113.6550611 34.7817374))"
way,729205933,"[6831830891, 6831830888, 6831830889, 6831830890, 6831830891]",yes,"POLYGON ((113.6543852 34.7814456, 113.6544847 34.7814449, 113.6544831 34.7812869, 113.6543836 34.7812876, 113.6543852 34.7814456))"
way,729205934,"[6831830903, 6831830892, 6831830893, 6831830894, 6831830903]",yes,"POLYGON ((113.6543684 34.781763, 113.6548895 34.7817594, 113.6548881 34.7816262, 113.654367 34.7816298, 113.6543684 34.781763))"
way,729205935,"[6831830898, 6831830897, 6831830896, 6831830895, 6831830898]",yes,"POLYGON ((113.6555721 34.7812869, 113.6555706 34.7811428, 113.6551067 34.7811459, 113.6551082 34.7812901, 113.6555721 34.7812869))"
